t_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0500,240.343,181.367,6.759,2.000,0.0000,0.0000,0.0000,0.0100,-11.9754,9.9978,6.2785,6.1114,6.0000,19.5472,19.1158,-11.6530
0.1500,239.452,179.190,6.488,2.000,0.6539,1.5860,-0.1388,0.0784,-11.8100,9.9834,6.8355,6.3347,6.0000,19.7595,20.4255,-11.4836
0.2500,241.176,179.211,6.355,2.000,1.2786,3.0065,-0.2597,0.2092,-11.5032,9.9569,7.3919,6.5591,6.0000,19.8288,21.6859,-11.3650
0.3500,240.721,180.919,6.412,2.000,1.8757,4.2772,-0.3645,0.3996,-11.0701,9.9200,7.9476,6.7855,6.0000,19.7699,22.9149,-11.2905
0.4500,240.842,180.013,6.744,2.000,2.4471,5.4119,-0.4545,0.6470,-10.5241,9.8742,8.5021,7.0146,6.0000,19.5961,24.1263,-11.2555
0.5500,239.551,181.395,6.525,2.000,2.9948,6.4231,-0.5311,0.9491,-9.8775,9.8208,9.0552,7.2471,6.0000,19.3198,25.3308,-11.2571
0.6500,238.378,179.722,6.743,2.000,3.5208,7.3219,-0.5953,1.3036,-9.1415,9.7610,9.6065,7.4839,6.0000,18.9522,26.5375,-11.2940
0.7500,237.496,180.899,7.051,2.000,4.0271,8.1183,-0.6481,1.7088,-8.3263,9.6960,10.1557,7.7256,6.0000,18.5035,27.7538,-11.3662
0.8500,239.395,180.878,7.143,2.000,4.5154,8.8214,-0.6900,2.1626,-7.4412,9.6269,10.7023,7.9730,6.0000,17.9830,28.9861,-11.4748
0.9500,240.319,181.941,7.016,2.000,4.9876,9.4393,-0.7218,2.6637,-6.4947,9.5546,11.2460,8.2267,6.0000,17.3991,30.2402,-11.6222
1.0500,240.207,182.156,7.546,2.000,5.4452,9.9791,-0.7439,3.2104,-5.4946,9.4802,11.7864,8.4875,6.0000,16.7595,31.5223,-11.8118
1.1500,241.236,180.932,7.650,2.000,5.8899,10.4473,-0.7565,3.8015,-4.4480,9.4045,12.3229,8.7559,6.0000,16.0711,32.8359,-12.0492
1.2500,242.145,181.882,7.965,2.000,6.3231,10.8497,-0.7598,4.4359,-3.3614,9.3286,12.8553,9.0327,6.0000,15.3400,34.1869,-12.3416
1.3500,242.228,181.151,8.496,2.000,6.7459,11.1915,-0.7537,5.1126,-2.2410,9.2533,13.3829,9.3184,6.0000,14.5720,35.5806,-12.6989
1.4500,241.967,181.912,8.597,2.045,7.1595,11.4772,-0.7379,5.8305,-1.0922,9.1797,13.9053,9.6135,6.0000,13.7721,37.0230,-13.1343
1.5500,242.119,182.274,9.123,2.218,7.5650,11.7109,-0.7117,6.5890,0.0798,9.1087,14.4220,9.9185,6.0000,12.9450,38.5210,-13.6655
1.6500,241.438,180.936,9.897,2.522,7.9632,11.8962,-0.6742,7.3873,1.2700,9.0416,14.9323,10.2340,6.0000,12.0951,40.0829,-14.3167
1.7500,241.481,179.961,10.008,2.720,8.3549,12.0363,-0.6235,8.2247,2.4740,8.9796,15.4358,10.5604,6.0000,11.2263,41.7194,-15.1217
1.8500,239.647,179.765,10.630,3.090,8.7405,12.1340,-0.5569,9.1006,3.6877,8.9244,15.9317,10.8981,6.0000,10.3428,43.4456,-16.1278
1.9500,241.225,179.567,11.029,3.540,9.1206,12.1914,-0.4695,10.0145,4.9068,8.8780,16.4196,11.2473,6.0000,9.4489,45.2827,-17.4036
2.0500,241.190,180.382,11.917,4.094,9.4949,12.2102,-0.3519,10.9658,6.1277,8.8438,16.8987,11.6085,6.0000,8.5498,47.2581,-19.0545
2.1500,240.481,178.715,12.525,4.536,9.8619,12.1906,-0.1825,11.9538,7.3464,8.8271,17.3684,11.9818,6.0000,7.6533,49.4200,-21.2592
2.2500,239.831,177.778,14.283,5.421,10.2116,12.1254,0.1101,12.9760,8.5578,8.8425,17.8280,12.3674,6.0000,6.7757,51.8800,-24.3278
2.3500,238.404,179.982,17.360,7.738,10.0086,11.6014,1.0807,13.9615,9.7053,8.9435,18.2770,12.7654,6.0000,6.0348,54.6784,-28.6508
2.4500,237.850,180.989,20.287,10.519,8.1850,9.9170,1.2471,14.7706,10.6887,9.0666,18.7144,13.1760,6.0000,5.5588,57.7845,-32.8821
2.5500,238.113,181.699,22.142,12.610,6.3281,8.2550,1.0541,15.3941,11.5061,9.1703,19.1398,13.5992,6.0000,5.3113,60.8290,-36.0097
2.6500,239.330,179.762,23.363,13.493,4.4794,6.6439,0.7489,15.8339,12.1637,9.2433,19.5524,14.0348,6.0000,5.2526,63.3101,-37.4813
2.7500,238.378,179.858,23.763,13.666,2.7829,5.2037,0.3971,16.1047,12.6779,9.2811,19.9514,14.4828,6.0000,5.3441,64.8809,-37.2386
2.8500,240.432,179.868,22.866,12.859,1.2278,3.9132,0.0151,16.2204,13.0635,9.2805,20.3363,14.9431,6.0000,5.5654,65.4695,-35.5122
2.9500,240.318,179.742,21.414,11.915,-0.2222,2.7294,-0.4020,16.1915,13.3311,9.2378,20.7064,15.4153,6.0000,5.9122,65.2306,-32.6461
3.0500,240.375,178.985,20.967,10.694,-1.5845,1.6241,-0.8801,16.0274,13.4888,9.1466,21.0610,15.8993,6.0000,6.3874,64.4188,-29.0043
3.1500,241.644,177.807,18.917,8.396,-2.7234,0.6680,-1.5770,15.7749,13.5669,8.9825,21.3995,16.3946,6.0000,6.9492,63.3158,-24.9552
3.2500,241.906,179.017,17.912,6.652,-1.3577,1.3105,-1.7110,15.6463,13.7017,8.8151,21.7213,16.9010,6.0000,7.4056,62.2325,-21.9126
3.3500,242.485,179.185,17.502,5.824,0.1614,2.0980,-1.1024,15.6688,13.9151,8.7078,22.0259,17.4179,6.0000,7.7330,61.1484,-20.0875
3.4500,241.912,180.598,17.229,5.460,1.5106,2.8274,-0.5123,15.8257,14.2012,8.6591,22.3127,17.9449,6.0000,7.9345,60.0135,-19.1817
3.5500,242.634,179.211,16.677,5.195,2.7144,3.5149,0.0131,16.1022,14.5559,8.6625,22.5812,18.4814,6.0000,8.0165,58.7922,-19.0033
3.6500,241.397,180.219,16.511,5.404,3.7877,4.1712,0.4597,16.4856,14.9761,8.7101,22.8310,19.0269,6.0000,7.9877,57.4507,-19.4371
3.7500,241.369,178.988,16.700,5.513,4.7420,4.8059,0.8166,16.9638,15.4598,8.7929,23.0616,19.5808,6.0000,7.8578,55.9535,-20.4159
3.8500,239.486,179.760,17.016,6.156,5.5862,5.4281,1.0662,17.5259,16.0057,8.8998,23.2728,20.1424,6.0000,7.6366,54.2587,-21.8999
