scenario,name,estimator,family,meas,maneuver,detect_hz,latency_s,jitter,timing,period_jit,lat_jit_s,stamp_jit_s,est_px_rms,held_px_rms,los_head_rms,los_att_rms,range_rms,range_bias,range_peak,size_rms,speed_rms,updates,rejects,steps,timeseries
s01,smooth_10hz_50ms,CV-pixel,CV,px,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,2.1898,1.6083,0.3063,0.2516,0.0000,0.0000,0.0000,0.0000,0.0000,189,0,2000,logs/auto_20260817_043411/runs/s01_CV-pixel.csv
s01,smooth_10hz_50ms,EKF,EKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,4.7157,1.6083,0.5805,0.6661,0.8475,0.7312,3.1043,0.0348,0.9522,189,0,2000,logs/auto_20260817_043411/runs/s01_EKF.csv
s01,smooth_10hz_50ms,UKF,UKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.6443,1.6083,0.9268,0.7426,1.3124,1.1580,4.0614,0.0436,1.1277,189,0,2000,logs/auto_20260817_043411/runs/s01_UKF.csv
s01,smooth_10hz_50ms,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,4.5307,1.6083,0.6015,0.6322,0.6860,0.5512,2.6420,0.0311,0.6818,189,0,2000,logs/auto_20260817_043411/runs/s01_IMM-EKF.csv
s01,smooth_10hz_50ms,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.9239,1.6083,0.9460,0.7921,0.9530,0.6951,3.0021,0.0484,0.8433,189,0,2000,logs/auto_20260817_043411/runs/s01_IMM-UKF.csv
s01,smooth_10hz_50ms,EKF-LOS,EKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,118.2894,1.6083,16.0987,10.3660,24.3274,17.1715,73.6625,0.0344,13.3973,189,11,2000,logs/auto_20260817_043411/runs/s01_EKF-LOS.csv
s01,smooth_10hz_50ms,UKF-LOS,UKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,8.4117,1.6083,1.3541,1.1509,24.1252,21.4839,54.2452,0.0344,8.1186,189,0,2000,logs/auto_20260817_043411/runs/s01_UKF-LOS.csv
s01,smooth_10hz_50ms,IMM-EKF-LOS,IMM-EKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.2702,1.6083,0.6725,0.7560,4.4817,3.2398,12.1447,0.0344,2.8811,189,0,2000,logs/auto_20260817_043411/runs/s01_IMM-EKF-LOS.csv
s01,smooth_10hz_50ms,IMM-UKF-LOS,IMM-UKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,10.0921,1.6083,2.1871,1.1916,9.4972,7.4784,23.9004,0.0344,5.0698,189,0,2000,logs/auto_20260817_043411/runs/s01_IMM-UKF-LOS.csv
s02,jink_10hz_50ms,CV-pixel,CV,px,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,2.1887,1.6090,0.2927,0.2512,0.0000,0.0000,0.0000,0.0000,0.0000,189,0,2000,logs/auto_20260817_043411/runs/s02_CV-pixel.csv
