id,name,maneuver,detect_hz,latency_s,jitter,center_px,size_frac,timing,period_jit,lat_jit_s,stamp_jit_s,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,tgt_vx,tgt_vy,tgt_vz,seed,duration_s,ideal_gimbal
s01,smooth_10hz_50ms,smooth,10.00,0.050,1,4.0,0.100,1,0.200,0.0100,0.0020,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,20.0,1
s02,jink_10hz_50ms,jink,10.00,0.050,1,4.0,0.100,1,0.200,0.0100,0.0020,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,20.0,1
s03,smooth_10hz_150ms,smooth,10.00,0.150,1,4.0,0.100,1,0.200,0.0100,0.0020,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,20.0,1
s04,jink_10hz_150ms,jink,10.00,0.150,1,4.0,0.100,1,0.200,0.0100,0.0020,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,20.0,1
s05,smooth_20hz_50ms,smooth,20.00,0.050,1,4.0,0.100,1,0.200,0.0100,0.0020,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,20.0,1
s06,jink_4hz_50ms,jink,4.00,0.050,1,4.0,0.100,1,0.200,0.0100,0.0020,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,20.0,1
s07,smooth_10hz_nojitter,smooth,10.00,0.050,0,4.0,0.100,1,0.200,0.0100,0.0020,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,20.0,1
s08,jink_10hz_nojitter,jink,10.00,0.050,0,4.0,0.100,1,0.200,0.0100,0.0020,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,20.0,1
s09,far_smooth,smooth,10.00,0.050,1,4.0,0.100,1,0.200,0.0100,0.0020,0.000,-28.000,12.000,10.000,10.000,8.000,4.000,1.000,0.000,659918,20.0,1
s10,close_jink,jink,10.00,0.050,1,4.0,0.100,1,0.200,0.0100,0.0020,0.000,-8.000,8.000,3.000,3.000,6.000,6.000,-1.000,0.500,48879,20.0,1
s11,seed2_smooth,smooth,10.00,0.050,1,4.0,0.100,1,0.200,0.0100,0.0020,0.000,-12.000,10.000,6.000,6.000,6.000,-3.000,5.000,0.000,51966,20.0,1
s12,hi_jitter_jink,jink,10.00,0.050,1,8.0,0.200,1,0.200,0.0100,0.0020,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,20.0,1
s13,stable_timing,smooth,10.00,0.050,1,4.0,0.100,0,0.000,0.0000,0.0000,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,20.0,1
s14,heavy_period,smooth,10.00,0.050,1,4.0,0.100,1,0.400,0.0100,0.0020,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,20.0,1
s15,heavy_stamp,jink,10.00,0.050,1,4.0,0.100,1,0.200,0.0150,0.0080,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,20.0,1
