scenario,name,family,maneuver,detect_hz,latency_s,jitter,bbox_est_px,los_est_px,d_est_px,bbox_hdg,los_hdg,d_hdg,bbox_range,los_range,d_range,bbox_size,los_size
s01,smooth_10hz_50ms,EKF,smooth,10.00,0.050,1,4.7157,118.2894,113.5737,0.5805,16.0987,15.5181,0.8475,24.3274,23.4799,0.0348,0.0344
s01,smooth_10hz_50ms,UKF,smooth,10.00,0.050,1,5.6443,8.4117,2.7674,0.9268,1.3541,0.4273,1.3124,24.1252,22.8128,0.0436,0.0344
s01,smooth_10hz_50ms,IMM-EKF,smooth,10.00,0.050,1,4.5307,5.2702,0.7395,0.6015,0.6725,0.0710,0.6860,4.4817,3.7957,0.0311,0.0344
s01,smooth_10hz_50ms,IMM-UKF,smooth,10.00,0.050,1,5.9239,10.0921,4.1683,0.9460,2.1871,1.2411,0.9530,9.4972,8.5441,0.0484,0.0344
s02,jink_10hz_50ms,EKF,jink,10.00,0.050,1,5.4708,215.4674,209.9965,0.7167,16.6139,15.8972,0.9846,5.0127,4.0281,0.0552,0.0228
s02,jink_10hz_50ms,UKF,jink,10.00,0.050,1,7.2593,12.7472,5.4879,1.1352,2.1489,1.0137,0.9520,11.6397,10.6877,0.0249,0.0228
s02,jink_10hz_50ms,IMM-EKF,jink,10.00,0.050,1,6.5879,237.4362,230.8484,0.8371,20.3256,19.4885,2.1381,4.1630,2.0249,0.1073,0.0228
s02,jink_10hz_50ms,IMM-UKF,jink,10.00,0.050,1,8.3216,13.2191,4.8975,1.2342,2.2879,1.0536,2.1457,1.0259,-1.1198,0.1104,0.0228
s03,smooth_10hz_150ms,EKF,smooth,10.00,0.150,1,11.8602,140.4432,128.5830,1.7153,18.4059,16.6906,0.9939,25.3918,24.3979,0.0348,0.0344
s03,smooth_10hz_150ms,UKF,smooth,10.00,0.150,1,13.2762,15.3867,2.1104,2.2108,2.4138,0.2030,1.4596,24.6528,23.1932,0.0438,0.0344
s03,smooth_10hz_150ms,IMM-EKF,smooth,10.00,0.150,1,11.9541,13.7144,1.7603,1.8094,1.5841,-0.2253,0.8565,4.7244,3.8679,0.0312,0.0344
s03,smooth_10hz_150ms,IMM-UKF,smooth,10.00,0.150,1,14.6723,17.5826,2.9102,2.2104,3.4021,1.1918,1.1195,9.9001,8.7806,0.0483,0.0344
s04,jink_10hz_150ms,EKF,jink,10.00,0.150,1,14.4863,183.9217,169.4353,1.7143,17.5959,15.8817,1.0550,5.4108,4.3558,0.0551,0.0228
s04,jink_10hz_150ms,UKF,jink,10.00,0.150,1,15.9271,23.3246,7.3975,2.3401,3.8617,1.5215,1.1740,12.1972,11.0232,0.0251,0.0228
s04,jink_10hz_150ms,IMM-EKF,jink,10.00,0.150,1,18.2141,235.4809,217.2668,2.0173,20.4434,18.4261,2.1807,4.3684,2.1877,0.1071,0.0228
s04,jink_10hz_150ms,IMM-UKF,jink,10.00,0.150,1,20.2415,24.2097,3.9683,2.6243,3.9288,1.3045,2.2000,1.2156,-0.9844,0.1101,0.0228
s05,smooth_20hz_50ms,EKF,smooth,20.00,0.050,1,3.4852,149.4139,145.9288,0.4520,18.4555,18.0035,2.4240,29.3888,26.9648,0.0964,0.0344
s05,smooth_20hz_50ms,UKF,smooth,20.00,0.050,1,3.7192,4.7521,1.0329,0.5256,0.7451,0.2195,1.1349,14.6656,13.5307,0.0601,0.0344
s05,smooth_20hz_50ms,IMM-EKF,smooth,20.00,0.050,1,3.2446,3.2345,-0.0100,0.4561,0.4568,0.0006,0.9425,3.0854,2.1429,0.0371,0.0344
s05,smooth_20hz_50ms,IMM-UKF,smooth,20.00,0.050,1,3.9170,4.2949,0.3779,0.6016,0.8570,0.2554,1.7263,4.3243,2.5980,0.0840,0.0344
s06,jink_4hz_50ms,EKF,jink,4.00,0.050,1,17.8396,1479.9548,1462.1151,2.3298,39.7390,37.4092,1.0146,10.1028,9.0882,0.0505,0.0228
s06,jink_4hz_50ms,UKF,jink,4.00,0.050,1,58.3216,80.9356,22.6140,7.8386,13.4051,5.5665,5.1227,29.5299,24.4072,0.1432,0.0228
s06,jink_4hz_50ms,IMM-EKF,jink,4.00,0.050,1,19.8321,500.4311,480.5990,2.4672,27.0874,24.6202,1.5016,9.0129,7.5113,0.0794,0.0228
s06,jink_4hz_50ms,IMM-UKF,jink,4.00,0.050,1,43.2504,85.0935,41.8431,6.1755,13.7818,7.6063,1.0281,69.3262,68.2980,0.0632,0.0228
s07,smooth_10hz_nojitter,EKF,smooth,10.00,0.050,0,4.6268,232.2573,227.6305,0.4035,23.9028,23.4993,0.9562,41.5400,40.5838,0.0402,0.0344
s07,smooth_10hz_nojitter,UKF,smooth,10.00,0.050,0,5.4891,110.0073,104.5182,0.8524,12.5307,11.6782,1.2404,33.2221,31.9816,0.0380,0.0344
s07,smooth_10hz_nojitter,IMM-EKF,smooth,10.00,0.050,0,4.9396,4.5478,-0.3918,0.4524,0.5964,0.1441,0.7880,5.4805,4.6926,0.0340,0.0344
s07,smooth_10hz_nojitter,IMM-UKF,smooth,10.00,0.050,0,6.6953,8.8732,2.1780,1.1674,1.7689,0.6015,0.6589,18.9922,18.3333,0.0298,0.0344
s08,jink_10hz_nojitter,EKF,jink,10.00,0.050,0,5.3503,398.1908,392.8404,0.5816,11.5965,11.0148,2.0475,4.1418,2.0943,0.1062,0.0228
