t_s,stamp_s,t_true,latency_s,period_s,stamp_err_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0600,0.0019,0.0000,0.0521,0.1063,0.0019,240.003,179.826,6.675,1.516,0.0000,0.0000,0.0000,0.0139,-11.9657,9.9970,6.3342,6.1337,6.0000,19.5753,19.2496,-11.6335
0.1600,0.1091,0.1100,0.0434,0.0804,-0.0009,240.002,179.830,6.582,1.476,0.7177,1.7352,-0.1517,0.0887,-11.7854,9.9812,6.8911,6.3571,6.0000,19.7726,20.5534,-11.4696
0.2500,0.2018,0.2000,0.0443,0.1188,0.0018,240.001,179.833,6.549,1.457,1.2786,3.0065,-0.2597,0.2092,-11.5032,9.9569,7.3919,6.5591,6.0000,19.8288,21.6859,-11.3650
0.3700,0.3190,0.3200,0.0485,0.0832,-0.0010,240.000,179.834,6.556,1.448,1.9920,4.5146,-0.3836,0.4446,-10.9695,9.9115,8.0586,6.8311,6.0000,19.7439,23.1582,-11.2805
0.4700,0.4118,0.4100,0.0501,0.0982,0.0018,239.999,179.833,6.596,1.453,2.5029,5.5184,-0.4628,0.7031,-10.4024,9.8641,8.6129,7.0608,6.0000,19.5487,24.3674,-11.2529
0.5700,0.5105,0.5100,0.0598,0.0941,0.0005,239.999,179.831,6.670,1.469,3.0484,6.5178,-0.5381,1.0159,-9.7371,9.8093,9.1656,7.2941,6.0000,19.2533,25.5717,-11.2616
0.6700,0.6117,0.6100,0.0590,0.0881,0.0017,239.998,179.828,6.774,1.495,3.5723,7.4059,-0.6011,1.3807,-8.9845,9.7484,9.7165,7.5318,6.0000,18.8686,26.7798,-11.3056
0.7600,0.6983,0.7000,0.0591,0.1188,-0.0017,239.997,179.825,6.892,1.526,4.0271,8.1183,-0.6481,1.7520,-8.2408,9.6893,10.2105,7.7501,6.0000,18.4546,27.8762,-11.3754
0.8700,0.8187,0.8200,0.0416,0.1047,-0.0013,239.995,179.819,7.084,1.582,4.6111,8.9516,-0.6972,2.2591,-7.2566,9.6127,10.8113,8.0232,6.0000,17.8711,29.2350,-11.5011
0.9900,0.9281,0.9300,0.0564,0.1142,-0.0019,239.993,179.811,7.293,1.646,5.1263,9.6091,-0.7295,2.8769,-6.1007,9.5251,11.4626,8.3301,6.0000,17.1496,30.7497,-11.6927
1.1100,1.0497,1.0500,0.0562,0.1113,-0.0003,239.996,179.801,7.580,1.735,5.6691,10.2218,-0.7514,3.5598,-4.8718,9.4349,12.1088,8.6476,6.0000,16.3519,32.3063,-11.9481
1.2300,1.1700,1.1700,0.0526,0.0930,-0.0000,239.993,179.786,7.928,1.845,6.1943,10.7356,-0.7598,4.3056,-3.5816,9.3438,12.7492,8.9767,6.0000,15.4893,33.9134,-12.2783
1.3300,1.2719,1.2700,0.0543,0.0810,0.0019,239.991,179.772,8.256,1.956,6.6200,11.0950,-0.7565,4.9739,-2.4675,9.2683,13.2778,9.2605,6.0000,14.7283,35.2982,-12.6217
1.4100,1.3600,1.3600,0.0441,0.1134,0.0000,239.988,179.757,8.583,2.073,6.9951,11.3693,-0.7454,5.5384,-1.5547,9.2089,13.6970,9.4943,6.0000,14.0956,36.4398,-12.9498
1.5400,1.4799,1.4800,0.0577,0.1139,-0.0001,239.983,179.733,9.069,2.260,7.4845,11.6681,-0.7178,6.5113,-0.0383,9.1157,14.3706,9.8876,6.0000,13.0288,38.3685,-13.6074
1.6500,1.5992,1.6000,0.0483,0.1195,-0.0008,239.977,179.702,9.621,2.491,7.9632,11.8962,-0.6742,7.3873,1.2700,9.0416,14.9323,10.2340,6.0000,12.0951,40.0829,-14.3167
1.7800,1.7218,1.7200,0.0588,0.0991,0.0018,239.969,179.664,10.248,2.781,8.4325,12.0592,-0.6116,8.4834,2.8373,8.9622,15.5854,10.6605,6.0000,10.9626,42.2270,-15.3997
