t_s,stamp_s,t_true,latency_s,period_s,stamp_err_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0600,-0.0017,0.0000,0.0590,0.0801,-0.0017,240.795,178.234,7.090,2.000,0.0000,0.0000,0.0000,0.0095,-11.9642,9.9970,5.8148,6.3087,6.0000,19.5769,17.6247,-11.6325
0.1500,0.0914,0.0900,0.0595,0.0987,0.0014,239.038,178.051,7.590,2.000,0.3897,1.5018,-0.1257,0.0514,-11.8010,9.9834,5.5366,6.7715,6.0000,19.7629,16.4538,-11.4816
0.2400,0.1887,0.1900,0.0440,0.1185,-0.0013,239.107,179.312,8.157,2.000,0.7500,3.0274,-0.2482,0.1215,-11.5159,9.9601,5.2575,7.2338,6.0000,19.8317,15.3186,-11.3727
0.3700,0.3089,0.3100,0.0594,0.1101,-0.0011,239.034,178.715,7.805,2.000,1.0918,4.6774,-0.3740,0.2629,-10.9089,9.9116,4.8518,7.9000,6.0000,19.7439,13.7107,-11.2806
0.4800,0.4306,0.4300,0.0475,0.1091,0.0006,240.664,178.656,6.624,2.000,1.3449,6.1505,-0.4789,0.4106,-10.2330,9.8590,4.5050,8.4616,6.0000,19.5150,12.3540,-11.2572
0.6000,0.5395,0.5400,0.0583,0.0995,-0.0005,240.875,177.695,8.299,2.000,1.5067,7.3617,-0.5586,0.5917,-9.3440,9.7916,4.1221,9.0713,6.0000,19.1223,10.8526,-11.2856
0.6900,0.6412,0.6400,0.0492,0.0890,0.0012,240.722,178.237,7.880,2.000,1.6002,8.3586,-0.6187,0.7362,-8.5835,9.7355,3.8309,9.5261,6.0000,18.7401,9.6979,-11.3437
0.7900,0.7283,0.7300,0.0504,0.1046,-0.0017,240.691,180.385,8.718,2.000,1.6438,9.1786,-0.6634,0.9007,-7.6530,9.6685,3.5029,10.0284,6.0000,18.2365,8.3723,-11.4465
0.8900,0.8398,0.8400,0.0449,0.0802,-0.0002,239.462,180.424,9.471,2.000,1.6475,10.0902,-0.7067,1.0652,-6.6403,9.5977,3.1694,10.5272,6.0000,17.6581,6.9881,-11.5919
0.9800,0.9297,0.9300,0.0407,0.1196,-0.0003,238.491,179.058,8.822,2.672,1.6119,10.7681,-0.7333,1.2096,-5.6650,9.5316,2.8640,10.9726,6.0000,17.0803,5.6793,-11.7626
