t_s,stamp_s,t_true,latency_s,period_s,stamp_err_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0500,-0.0020,0.0000,0.0453,0.2216,-0.0020,240.343,181.367,7.182,2.000,0.0000,0.0000,0.0000,0.0099,-11.9754,9.9978,6.2743,6.1214,6.0000,19.5550,19.0940,-11.6483
0.2800,0.2300,0.2300,0.0416,0.2956,0.0000,241.639,182.266,6.421,2.000,1.4230,3.4193,-0.2886,0.2548,-11.3836,9.9475,7.4216,6.8804,6.0000,20.0051,21.4242,-11.2365
0.5900,0.5317,0.5300,0.0590,0.2202,0.0017,240.835,182.864,6.069,2.000,2.9100,6.8188,-0.5332,1.0267,-9.5664,9.8025,8.5588,8.3387,6.0000,19.7859,22.8128,-10.9361
0.8100,0.7605,0.7600,0.0435,0.2822,0.0005,241.974,180.275,7.471,2.000,3.7484,8.8293,-0.6433,1.8104,-7.7247,9.6661,9.0030,9.5777,6.0000,19.0854,22.5745,-10.9253
1.1100,1.0505,1.0500,0.0556,0.2495,0.0005,239.657,181.218,9.028,2.000,4.4091,10.8474,-0.7096,3.0831,-4.6392,9.4578,9.0608,11.3671,6.0000,17.4245,20.4799,-11.2806
1.3500,1.3000,1.3000,0.0441,0.2835,0.0000,239.231,181.314,10.813,2.000,4.5932,12.2590,-0.7144,4.1792,-1.7816,9.2860,8.6481,12.7415,6.0000,15.5379,17.1042,-12.0215
1.6400,1.5920,1.5900,0.0458,0.2940,0.0020,240.771,180.542,12.537,2.000,4.2963,13.6227,-0.6626,5.4627,2.0513,9.0879,7.7630,14.2369,6.0000,12.7699,10.6919,-13.7597
1.9500,1.8910,1.8900,0.0508,0.2054,0.0010,241.917,180.034,14.120,3.100,3.6007,14.7415,-0.5079,6.6480,6.5227,8.9136,7.2631,16.0174,6.0000,9.9391,3.7136,-16.7354
2.1600,2.1016,2.1000,0.0559,0.2575,0.0016,241.707,181.056,13.230,2.516,3.0505,15.3559,-0.2817,7.3106,9.7238,8.8445,7.3112,17.2731,6.0000,8.0534,-0.0052,-20.2873
2.4200,2.3608,2.3600,0.0582,0.2359,0.0008,240.627,180.516,19.942,9.285,2.4516,14.7348,1.0497,7.9857,13.6659,8.9691,7.8004,18.7478,6.0000,5.8685,-2.0977,-29.8385
2.6500,2.6013,2.6000,0.0499,0.2954,0.0013,239.167,179.689,24.300,15.662,1.6087,8.8109,0.8407,8.4105,16.0331,9.1876,8.5933,19.8719,6.0000,4.9677,2.7195,-39.2246
