t_s,stamp_s,t_true,latency_s,period_s,stamp_err_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0500,-0.0019,0.0000,0.0488,0.0858,-0.0019,239.931,180.263,8.413,2.000,0.0000,0.0000,0.0000,0.0101,-7.9765,8.0075,3.2975,2.9614,6.0000,11.5894,16.7330,-9.7341
0.1400,0.0899,0.0900,0.0405,0.1154,-0.0001,239.483,178.836,8.492,2.000,0.6065,1.3678,0.4292,0.0708,-7.8410,8.0498,3.8366,2.9370,6.0000,11.5925,19.2643,-9.9420
0.2700,0.2089,0.2100,0.0585,0.1157,-0.0011,238.657,177.666,9.178,2.613,1.4169,2.9866,0.8906,0.2549,-7.4540,8.1648,4.6129,3.0046,6.0000,11.5278,22.6229,-10.5775
0.3800,0.3313,0.3300,0.0440,0.1001,0.0013,239.809,177.270,10.801,2.390,2.2150,4.3980,1.2326,0.4984,-6.9709,8.3000,5.2550,3.1555,6.0000,11.4139,25.1609,-11.3728
0.4900,0.4384,0.4400,0.0423,0.0984,-0.0016,239.011,177.648,11.630,2.492,2.9238,5.5330,1.4487,0.8199,-6.3629,8.4589,5.8715,3.3896,6.0000,11.2464,27.3815,-12.3696
0.5900,0.5393,0.5400,0.0486,0.1008,-0.0007,239.878,177.311,12.422,3.247,3.5405,6.4499,1.5702,1.1768,-5.7140,8.6161,6.4009,3.6712,6.0000,11.0458,29.0995,-13.4320
0.7100,0.6515,0.6500,0.0527,0.1036,0.0015,238.739,178.083,13.496,4.342,4.1800,7.3495,1.6269,1.6815,-4.8280,8.8110,6.9861,4.0897,6.0000,10.7397,30.7407,-14.8915
0.8100,0.7593,0.7600,0.0426,0.1183,-0.0007,238.757,178.723,11.263,3.593,4.7703,8.1518,1.6077,2.1609,-4.0096,8.9712,7.4237,4.4997,6.0000,10.4258,31.7285,-16.2636
0.9400,0.8815,0.8800,0.0543,0.1000,0.0015,240.514,180.098,11.132,4.600,5.3480,8.9350,1.5031,2.8556,-2.8486,9.1661,7.9136,5.1056,6.0000,9.9310,32.4440,-18.2731
1.0300,0.9812,0.9800,0.0402,0.0931,0.0012,240.734,181.287,11.389,3.841,5.7682,9.5277,1.3481,3.3780,-1.9861,9.2855,8.1948,5.5663,6.0000,9.5275,32.5370,-19.8362
1.1400,1.0791,1.0800,0.0556,0.0909,-0.0008,239.820,180.803,13.275,4.940,6.1241,10.0758,1.1254,4.0547,-0.8722,9.4059,8.4685,6.1664,6.0000,8.9639,32.0996,-21.9729
