t_s,stamp_s,t_true,latency_s,period_s,stamp_err_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0500,-0.0020,0.0000,0.0453,0.0886,-0.0020,240.343,181.367,7.182,2.000,0.0000,0.0000,0.0000,0.0100,-11.9754,9.9978,6.2785,6.1114,6.0000,19.5472,19.1158,-11.6530
0.1400,0.0900,0.0900,0.0416,0.1182,0.0000,241.645,182.259,6.661,2.000,0.5899,1.4351,-0.1258,0.0687,-11.8331,9.9854,6.7798,6.3123,6.0000,19.7449,20.2971,-11.4981
0.2700,0.2117,0.2100,0.0590,0.0881,0.0017,240.845,182.852,6.998,2.000,1.3395,3.1401,-0.2709,0.2426,-11.4263,9.9503,7.5031,6.6042,6.0000,19.8268,21.9337,-11.3468
0.3500,0.3005,0.3000,0.0435,0.1129,0.0005,241.963,180.268,8.328,2.000,1.8757,4.2772,-0.3645,0.3996,-11.0701,9.9200,7.9476,6.7855,6.0000,19.7699,22.9149,-11.2905
0.4800,0.4205,0.4200,0.0556,0.0998,0.0005,239.648,181.232,8.656,2.000,2.5585,5.6237,-0.4709,0.7320,-10.3401,9.8589,8.6682,7.0839,6.0000,19.5235,24.4879,-11.2522
0.5700,0.5200,0.5200,0.0441,0.1134,0.0000,239.224,181.356,9.405,2.000,3.1017,6.6115,-0.5449,1.0159,-9.7371,9.8093,9.1656,7.2941,6.0000,19.2533,25.5717,-11.2616
0.6900,0.6420,0.6400,0.0458,0.1176,0.0020,240.765,180.647,9.561,2.000,3.7256,7.6522,-0.6178,1.4597,-8.8244,9.7356,9.8265,7.5799,6.0000,18.7819,27.0225,-11.3186
0.8200,0.7610,0.7600,0.0508,0.0822,0.0010,241.874,180.244,9.964,2.000,4.3221,8.5508,-0.6745,2.0215,-7.7136,9.6480,10.5386,7.8981,6.0000,18.1462,28.6144,-11.4383
0.9100,0.8516,0.8500,0.0559,0.1030,0.0016,241.759,181.402,7.896,2.000,4.7534,9.1405,-0.7072,2.4577,-6.8802,9.5839,11.0289,8.1244,6.0000,17.6398,29.7356,-11.5584
1.0200,0.9608,0.9600,0.0582,0.0944,0.0008,240.682,180.939,7.518,2.000,5.2638,9.7721,-0.7362,3.0416,-5.7999,9.5027,11.6246,8.4085,6.0000,16.9568,31.1347,-11.7502
1.1100,1.0613,1.0600,0.0499,0.1181,0.0013,239.204,180.062,6.482,2.000,5.7135,10.2682,-0.7526,3.5598,-4.8718,9.4349,12.1088,8.6476,6.0000,16.3519,32.3063,-11.9481
1.2400,1.1797,1.1800,0.0555,0.1175,-0.0003,239.425,178.868,8.589,2.422,6.2373,10.7742,-0.7599,4.3706,-3.4717,9.3362,12.8023,9.0046,6.0000,15.4149,34.0499,-12.3097
1.3500,1.2985,1.3000,0.0466,0.1084,-0.0015,239.452,177.964,7.437,2.000,6.7459,11.1915,-0.7537,5.1126,-2.2410,9.2533,13.3829,9.3184,6.0000,14.5720,35.5806,-12.6989
1.4700,1.4085,1.4100,0.0598,0.1158,-0.0015,238.745,177.098,9.815,2.834,7.2004,11.5028,-0.7357,5.9790,-0.8595,9.1653,14.0091,9.6737,6.0000,13.6087,37.3179,-13.2322
1.5900,1.5299,1.5300,0.0505,0.1053,-0.0001,240.362,179.651,9.250,4.106,7.6852,11.7714,-0.7017,6.9036,0.5539,9.0813,14.6269,10.0434,6.0000,12.6076,39.1375,-13.9099
