scenario,name,estimator,est_px_rms,los_head_rms,los_att_rms,range_rms,size_rms,rejects,timing
s01,smooth_10hz_50ms,EKF,4.7605,0.5937,0.6732,0.8448,0.0321,0,1
s01,smooth_10hz_50ms,IMM-EKF,4.6119,0.6329,0.6403,0.7505,0.0331,0,1
s02,jink_10hz_50ms,EKF,5.5707,0.7428,0.6428,1.1040,0.0582,0,1
s02,jink_10hz_50ms,IMM-EKF,6.8633,0.8845,0.8219,2.2981,0.1144,0,1
s03,smooth_10hz_150ms,EKF,12.1984,1.8146,1.7070,1.0597,0.0320,0,1
s03,smooth_10hz_150ms,IMM-EKF,12.3899,1.9218,1.7014,0.9391,0.0332,0,1
s04,jink_10hz_150ms,EKF,14.8028,1.7868,1.8616,1.2126,0.0581,0,1
s04,jink_10hz_150ms,IMM-EKF,18.9268,2.1219,2.5002,2.3451,0.1142,0,1
s05,smooth_20hz_50ms,EKF,3.5038,0.4576,0.4508,1.5685,0.0556,0,1
s05,smooth_20hz_50ms,IMM-EKF,3.2933,0.4713,0.4169,0.7242,0.0314,0,1
s06,jink_4hz_50ms,EKF,18.9172,2.4205,2.2520,1.0609,0.0480,0,1
s06,jink_4hz_50ms,IMM-EKF,20.2407,2.5636,2.4370,1.2772,0.0663,0,1
s07,smooth_10hz_nojitter,EKF,4.5735,0.4034,0.7166,0.9145,0.0387,0,1
s07,smooth_10hz_nojitter,IMM-EKF,4.8787,0.4697,0.7573,0.7478,0.0326,0,1
s08,jink_10hz_nojitter,EKF,5.3936,0.5985,0.7189,2.0572,0.1064,0,1
s08,jink_10hz_nojitter,IMM-EKF,6.6972,0.7745,0.8712,2.6340,0.1300,0,1
s09,far_smooth,EKF,5.0070,0.6354,0.7038,1.9710,0.0340,0,1
s09,far_smooth,IMM-EKF,5.1152,0.6339,0.7283,1.6126,0.0292,0,1
s10,close_jink,EKF,6.1857,0.8908,0.6471,1.0122,0.0491,0,1
s10,close_jink,IMM-EKF,7.0334,0.9825,0.7701,1.8003,0.0930,0,1
s11,seed2_smooth,EKF,5.5860,0.7874,0.6222,1.6821,0.0680,0,1
s11,seed2_smooth,IMM-EKF,5.6111,0.7982,0.6183,1.2519,0.0502,0,1
s12,hi_jitter_jink,EKF,7.4039,1.0247,0.8167,2.1437,0.0675,0,1
s12,hi_jitter_jink,IMM-EKF,7.7724,1.1050,0.8296,1.2334,0.0620,0,1
s13,stable_timing,EKF,4.5320,0.4926,0.6518,1.6109,0.0528,0,0
s13,stable_timing,IMM-EKF,4.9044,0.5152,0.7232,0.9777,0.0326,0,0
s14,heavy_period,EKF,5.1623,0.5483,0.7587,1.0492,0.0384,0,1
s14,heavy_period,IMM-EKF,5.0328,0.5226,0.7470,0.8798,0.0345,0,1
s15,heavy_stamp,EKF,6.0999,0.8716,0.6451,0.9373,0.0487,0,1
s15,heavy_stamp,IMM-EKF,7.1135,0.9661,0.8068,2.1274,0.1068,0,1
s16,zoom_1to3x,EKF,17.4539,0.8608,1.0008,2.9285,0.1443,0,1
s16,zoom_1to3x,IMM-EKF,13.4663,0.6630,0.7632,1.7549,0.0882,0,1
