scenario,name,estimator,family,meas,maneuver,detect_hz,latency_s,jitter,timing,period_jit,lat_jit_s,stamp_jit_s,est_px_rms,held_px_rms,los_head_rms,los_att_rms,range_rms,range_bias,range_peak,size_rms,speed_rms,updates,rejects,steps,timeseries
s03,smooth_10hz_150ms,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.150,1,1,0.200,0.0100,0.0020,12.3899,1.6095,1.9218,1.7014,0.9391,0.6714,4.0226,0.0332,0.8425,188,0,2000,logs/auto_20260817_134130/runs/s03_IMM-EKF.csv
s03,smooth_10hz_150ms,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.150,1,1,0.200,0.0100,0.0020,14.6883,1.6095,1.9867,2.0375,1.0663,0.7536,4.6141,0.0386,0.9303,188,0,2000,logs/auto_20260817_134130/runs/s03_IMM-UKF.csv
s03,smooth_10hz_150ms,EKF-LOS,EKF,los,smooth,10.00,0.150,1,1,0.200,0.0100,0.0020,159.0339,1.6095,21.3542,9.3802,19.6324,13.3579,64.4862,0.0344,11.8524,188,4,2000,logs/auto_20260817_134130/runs/s03_EKF-LOS.csv
s03,smooth_10hz_150ms,UKF-LOS,UKF,los,smooth,10.00,0.150,1,1,0.200,0.0100,0.0020,17.6730,1.6095,2.8751,2.4004,25.0121,22.1634,55.5847,0.0344,7.9760,188,0,2000,logs/auto_20260817_134130/runs/s03_UKF-LOS.csv
s03,smooth_10hz_150ms,IMM-EKF-LOS,IMM-EKF,los,smooth,10.00,0.150,1,1,0.200,0.0100,0.0020,14.2306,1.6095,1.5958,2.1366,3.8060,2.8259,11.4798,0.0344,2.2969,188,0,2000,logs/auto_20260817_134130/runs/s03_IMM-EKF-LOS.csv
s03,smooth_10hz_150ms,IMM-UKF-LOS,IMM-UKF,los,smooth,10.00,0.150,1,1,0.200,0.0100,0.0020,19.6936,1.6095,3.5781,2.5383,9.4399,7.3572,22.3529,0.0344,4.8133,188,0,2000,logs/auto_20260817_134130/runs/s03_IMM-UKF-LOS.csv
s04,jink_10hz_150ms,CV-pixel,CV,px,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,2.8024,1.6061,0.3760,0.3204,0.0000,0.0000,0.0000,0.0000,0.0000,188,0,2000,logs/auto_20260817_134130/runs/s04_CV-pixel.csv
s04,jink_10hz_150ms,EKF,EKF,bbox,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,14.8028,1.6061,1.7868,1.8616,1.2126,1.0015,2.9521,0.0581,1.5039,188,0,2000,logs/auto_20260817_134130/runs/s04_EKF.csv
s04,jink_10hz_150ms,UKF,UKF,bbox,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,17.9754,1.6061,2.7594,1.6815,1.3625,1.0134,4.7118,0.0243,1.5184,188,0,2000,logs/auto_20260817_134130/runs/s04_UKF.csv
s04,jink_10hz_150ms,IMM-EKF,IMM-EKF,bbox,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,18.9268,1.6061,2.1219,2.5002,2.3451,2.1875,4.9515,0.1142,1.3011,188,0,2000,logs/auto_20260817_134130/runs/s04_IMM-EKF.csv
