scenario,name,estimator,family,meas,maneuver,detect_hz,latency_s,jitter,est_px_rms,held_px_rms,los_head_rms,los_att_rms,range_rms,range_bias,range_peak,size_rms,speed_rms,updates,rejects,steps,timeseries
s03,smooth_10hz_150ms,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.150,1,11.9611,1.6400,1.6634,1.7174,1.1287,0.9379,4.3269,0.0390,0.9072,199,0,2000,logs/auto_20260817_030358/runs/s03_IMM-EKF.csv
s03,smooth_10hz_150ms,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.150,1,13.9644,1.6400,2.4567,1.8009,0.9094,0.6553,3.8693,0.0348,0.8033,199,0,2000,logs/auto_20260817_030358/runs/s03_IMM-UKF.csv
s03,smooth_10hz_150ms,EKF-LOS,EKF,los,smooth,10.00,0.150,1,186.0913,1.6400,16.6624,6.7583,25.7492,16.8301,79.5180,0.0344,9.0988,199,12,2000,logs/auto_20260817_030358/runs/s03_EKF-LOS.csv
s03,smooth_10hz_150ms,UKF-LOS,UKF,los,smooth,10.00,0.150,1,120.2103,1.6400,18.5221,6.2710,31.6546,27.4558,65.4034,0.0344,12.5073,199,11,2000,logs/auto_20260817_030358/runs/s03_UKF-LOS.csv
s03,smooth_10hz_150ms,IMM-EKF-LOS,IMM-EKF,los,smooth,10.00,0.150,1,11.5708,1.6400,1.7443,1.6163,8.5006,5.4141,22.5929,0.0344,5.6071,199,0,2000,logs/auto_20260817_030358/runs/s03_IMM-EKF-LOS.csv
s03,smooth_10hz_150ms,IMM-UKF-LOS,IMM-UKF,los,smooth,10.00,0.150,1,16.2504,1.6400,3.1817,2.0057,9.8626,7.7486,21.7462,0.0344,5.2147,199,0,2000,logs/auto_20260817_030358/runs/s03_IMM-UKF-LOS.csv
s04,jink_10hz_150ms,CV-pixel,CV,px,jink,10.00,0.150,1,2.8067,1.6413,0.3833,0.3167,0.0000,0.0000,0.0000,0.0000,0.0000,199,0,2000,logs/auto_20260817_030358/runs/s04_CV-pixel.csv
s04,jink_10hz_150ms,EKF,EKF,bbox,jink,10.00,0.150,1,13.9470,1.6413,1.5547,1.8517,1.4619,1.3501,3.5169,0.0763,1.2902,199,0,2000,logs/auto_20260817_030358/runs/s04_EKF.csv
s04,jink_10hz_150ms,UKF,UKF,bbox,jink,10.00,0.150,1,14.6105,1.6413,2.0505,1.5789,0.8805,0.7118,3.0547,0.0377,1.4010,199,0,2000,logs/auto_20260817_030358/runs/s04_UKF.csv
s04,jink_10hz_150ms,IMM-EKF,IMM-EKF,bbox,jink,10.00,0.150,1,17.4678,1.6413,1.8353,2.3890,2.3632,2.2598,4.7213,0.1172,1.2509,199,0,2000,logs/auto_20260817_030358/runs/s04_IMM-EKF.csv
