t_s,stamp_s,t_true,latency_s,period_s,stamp_err_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0500,-0.0020,0.0000,0.0453,0.0591,0.0000,240.343,181.367,6.759,2.000,0.0000,0.0000,0.0000,0.0100,-11.9754,9.9978,6.2785,6.1114,6.0000,19.5472,19.1158,-11.6530
0.1000,0.0500,0.0500,0.0416,0.0591,0.0000,241.645,182.257,6.636,2.000,0.3307,0.8147,-0.0717,0.0362,-11.9113,9.9922,6.5570,6.2230,6.0000,19.6722,19.7781,-11.5614
0.1700,0.1117,0.1100,0.0590,0.0564,0.0005,240.846,182.850,6.656,2.000,0.7177,1.7352,-0.1517,0.0997,-11.7594,9.9790,6.9468,6.3795,6.0000,19.7843,20.6809,-11.4561
0.2100,0.1605,0.1600,0.0435,0.0564,0.0005,241.964,180.266,6.851,2.000,1.0321,2.4571,-0.2134,0.1496,-11.6419,9.9688,7.1694,6.4692,6.0000,19.8173,21.1864,-11.4069
0.2800,0.2205,0.2200,0.0556,0.0567,0.0000,239.650,181.232,6.883,2.000,1.4002,3.2722,-0.2819,0.2602,-11.3859,9.9469,7.5587,6.6268,6.0000,19.8240,22.0572,-11.3383
0.3200,0.2700,0.2700,0.0441,0.0567,0.0000,239.226,181.358,6.993,2.000,1.6993,3.9109,-0.3346,0.3364,-11.2125,9.9321,7.7810,6.7173,6.0000,19.8002,22.5486,-11.3086
0.3800,0.3320,0.3300,0.0458,0.0588,0.0020,240.768,180.654,7.010,2.000,2.0497,4.6313,-0.3930,0.4679,-10.9176,9.9072,8.1141,6.8539,6.0000,19.7292,23.2796,-11.2760
0.4500,0.3910,0.3900,0.0508,0.0515,0.0016,241.878,180.255,7.075,2.000,2.3911,5.3042,-0.4461,0.6470,-10.5241,9.8742,8.5021,7.0146,6.0000,19.5961,24.1263,-11.2555
0.5000,0.4416,0.4400,0.0559,0.0472,0.0008,241.764,181.418,6.740,2.000,2.6689,5.8306,-0.4867,0.7913,-10.2126,9.8484,8.7789,7.1303,6.0000,19.4700,24.7288,-11.2518
0.5600,0.5008,0.5000,0.0582,0.0591,0.0013,240.687,180.962,6.688,2.000,2.9948,6.4231,-0.5311,0.9822,-9.8077,9.8151,9.1104,7.2706,6.0000,19.2870,25.4513,-11.2592
0.6000,0.5513,0.5500,0.0499,0.0591,0.0013,239.207,180.093,6.520,2.000,3.2604,6.8859,-0.5647,1.1199,-9.5200,9.7917,9.3311,7.3649,6.0000,19.1468,25.9334,-11.2711
0.6700,0.6097,0.6100,0.0555,0.0542,-0.0015,239.429,178.911,6.881,2.000,3.5723,7.4059,-0.6011,1.3807,-8.9845,9.7484,9.7165,7.5318,6.0000,18.8686,26.7798,-11.3056
0.7200,0.6685,0.6700,0.0466,0.0542,-0.0015,239.459,178.023,6.692,2.000,3.8772,7.8896,-0.6334,1.5820,-8.5786,9.7160,9.9912,7.6525,6.0000,18.6461,27.3875,-11.3408
