t_s,stamp_s,t_true,latency_s,period_s,stamp_err_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0600,-0.0019,0.0000,0.0563,0.0830,-0.0019,239.375,179.565,3.201,2.000,0.0000,0.0000,0.0000,0.0134,-27.9557,11.9957,10.3492,10.0873,6.0000,39.8695,15.1999,-8.5796
0.1400,0.0890,0.0900,0.0471,0.0807,-0.0010,238.964,180.590,3.220,2.000,0.5664,1.8529,-0.1801,0.0660,-27.7845,11.9791,10.8148,10.2041,6.0000,39.9243,15.7990,-8.5436
0.2300,0.1785,0.1800,0.0480,0.1023,-0.0015,240.078,179.647,3.131,2.000,1.1051,3.5390,-0.3430,0.1706,-27.4506,11.9467,11.3384,10.3363,6.0000,39.8430,16.4651,-8.5142
0.3500,0.2885,0.2900,0.0538,0.1197,-0.0015,241.124,178.573,3.151,2.000,1.7290,5.3941,-0.5210,0.3811,-26.7950,11.8834,12.0358,10.5151,6.0000,39.5224,17.3476,-8.4910
0.4600,0.4105,0.4100,0.0465,0.0923,0.0005,240.172,177.956,3.243,2.000,2.3707,7.1853,-0.6911,0.6418,-26.0054,11.8075,12.6742,10.6826,6.0000,39.0391,18.1579,-8.4842
0.5600,0.5099,0.5100,0.0484,0.0857,-0.0001,239.154,178.986,3.283,2.000,2.8778,8.5116,-0.8157,0.9320,-25.1486,11.7254,13.2536,10.8387,6.0000,38.4607,18.9009,-8.4891
0.6500,0.6016,0.6000,0.0489,0.1174,0.0016,239.478,178.643,3.404,2.000,3.3151,9.5884,-0.9157,1.2345,-24.2758,11.6421,13.7739,10.9830,6.0000,37.8391,19.5776,-8.5020
0.7800,0.7192,0.7200,0.0596,0.0858,-0.0008,239.982,179.596,3.463,2.000,3.8729,10.8681,-1.0325,1.7378,-22.8639,11.5079,14.5234,11.1990,6.0000,36.7920,20.5739,-8.5345
0.8700,0.8089,0.8100,0.0578,0.1193,-0.0011,241.249,179.934,3.425,2.000,4.2747,11.7216,-1.1089,2.1304,-21.7933,11.4068,15.0405,11.3546,6.0000,35.9757,21.2797,-8.5666
0.9900,0.9301,0.9300,0.0593,0.0860,0.0001,240.132,181.078,3.665,2.000,4.7912,12.7317,-1.1971,2.7078,-20.2614,11.2628,15.7273,11.5707,6.0000,34.7860,22.2450,-8.6218
1.0800,1.0219,1.0200,0.0596,0.0963,0.0019,239.824,182.005,3.806,2.000,5.1661,13.4020,-1.2536,3.1801,-19.0429,11.1489,16.2401,11.7400,6.0000,33.8268,22.9897,-8.6731
1.1800,1.1201,1.1200,0.0596,0.1090,0.0001,240.926,182.047,3.971,2.000,5.5718,14.0671,-1.3076,3.7432,-17.6272,11.0175,16.8071,11.9361,6.0000,32.7022,23.8405,-8.7406
1.2800,1.2284,1.2300,0.0489,0.0865,-0.0016,240.986,180.328,4.119,2.000,6.0069,14.7099,-1.3568,4.3458,-16.1538,10.8816,17.3710,12.1412,6.0000,31.5230,24.7182,-8.8202
1.3700,1.3184,1.3200,0.0464,0.1052,-0.0016,239.280,180.457,4.321,2.000,6.3557,15.1727,-1.3897,4.9213,-14.7841,10.7563,17.8754,12.3339,6.0000,30.4211,25.5334,-8.9033
1.4900,1.4308,1.4300,0.0546,0.1052,0.0008,240.660,181.322,4.464,2.000,6.7747,15.6676,-1.4211,5.7365,-12.9020,10.5857,18.5429,12.6039,6.0000,28.9001,26.6608,-9.0332
1.6000,1.5382,1.5400,0.0579,0.1099,-0.0018,241.590,180.716,4.510,2.000,7.1875,16.0912,-1.4434,6.5312,-11.1284,10.4268,19.1490,12.8651,6.0000,27.4615,27.7389,-9.1746
1.7000,1.6513,1.6500,0.0449,0.0923,0.0013,241.698,180.218,4.571,2.000,7.5220,16.2892,-1.4426,7.2844,-9.4999,10.2826,19.6946,13.1145,6.0000,26.1424,28.7564,-9.3215
1.8000,1.7502,1.7500,0.0419,0.1044,0.0002,242.617,179.944,4.811,2.000,7.7191,16.1991,-1.4152,8.0574,-7.8805,10.1413,20.2347,13.3759,6.0000,24.8383,29.8070,-9.4847
1.9200,1.8588,1.8600,0.0535,0.0887,-0.0012,239.998,180.081,5.019,2.000,7.9208,16.0977,-1.3844,9.0090,-5.9494,9.9753,20.8745,13.7060,6.0000,23.2941,31.1182,-9.7053
2.0000,1.9482,1.9500,0.0481,0.0836,-0.0018,239.621,180.839,5.265,2.000,8.0773,16.0118,-1.3581,9.6573,-4.6697,9.8671,21.2957,13.9363,6.0000,22.2773,32.0261,-9.8698
2.0900,2.0409,2.0400,0.0451,0.0848,0.0009,240.245,181.698,5.534,2.000,8.2425,15.9191,-1.3285,10.4009,-3.2379,9.7478,21.7638,14.2054,6.0000,21.1456,33.0801,-10.0752
2.1900,2.1297,2.1300,0.0516,0.1009,-0.0003,241.172,181.113,5.915,2.000,8.4159,15.8195,-1.2954,11.2455,-1.6577,9.6189,22.2764,14.5172,6.0000,19.9028,34.2918,-10.3337
2.3000,2.2395,2.2400,0.0546,0.0848,-0.0005,242.044,179.163,6.359,2.000,8.6383,15.6883,-1.2493,12.1980,0.0666,9.4820,22.8304,14.8760,6.0000,18.5530,35.6745,-10.6637
2.3800,2.3293,2.3300,0.0500,0.0901,-0.0007,240.763,178.498,6.456,2.000,8.8280,15.5730,-1.2065,12.9069,1.3108,9.3861,23.2262,15.1475,6.0000,17.5824,36.7134,-10.9411
2.4900,2.4304,2.4300,0.0538,0.0897,0.0004,239.800,177.684,7.087,2.000,9.0464,15.4366,-1.1526,13.9044,3.0072,9.2600,23.7602,15.5354,6.0000,16.2622,38.1888,-11.3875
2.5800,2.5204,2.5200,0.0567,0.1108,0.0004,238.512,179.821,7.570,2.000,9.2490,15.3062,-1.0975,14.7410,4.3820,9.1625,24.1875,15.8654,6.0000,15.1939,39.4383,-11.8234
2.6900,2.6386,2.6400,0.0455,0.0923,-0.0014,238.432,180.544,7.977,2.000,9.5269,15.1212,-1.0122,15.7890,6.0453,9.0512,24.6975,16.2843,6.0000,13.9020,41.0218,-12.4690
2.8000,2.7418,2.7400,0.0571,0.0972,0.0018,240.243,179.736,8.470,2.028,9.7642,14.9573,-0.9282,16.8657,7.6887,8.9502,25.1930,16.7203,6.0000,12.6247,42.6722,-13.2810
2.8900,2.8401,2.8400,0.0496,0.1100,0.0001,240.926,178.541,8.658,2.316,10.0056,14.7846,-0.8288,17.7684,9.0177,8.8766,25.5870,17.0895,6.0000,11.5901,44.0812,-14.1143
3.0100,2.9594,2.9600,0.0419,0.1041,-0.0006,239.860,179.830,9.559,2.642,10.2988,14.5657,-0.6805,19.0028,10.7667,8.7944,26.0954,17.5993,6.0000,10.2263,46.0772,-15.5614
3.1300,3.0717,3.0700,0.0505,0.1053,0.0017,239.305,179.400,11.333,3.367,10.5682,14.3533,-0.5008,20.2724,12.4878,8.7359,26.5835,18.1285,6.0000,8.8835,48.2189,-17.5858
3.2400,3.1805,3.1800,0.0563,0.0973,0.0005,240.080,179.759,13.286,4.194,10.8323,14.1265,-0.2400,21.4664,14.0391,8.7139,27.0120,18.6305,6.0000,7.6801,50.3897,-20.2784
3.3300,3.2789,3.2800,0.0411,0.1182,-0.0011,239.971,178.416,15.281,5.572,11.0423,13.8875,0.1868,22.4602,15.2853,8.7398,27.3486,19.0527,6.0000,6.7364,52.3952,-23.5235
3.4500,3.4008,3.4000,0.0444,0.1044,0.0008,240.856,177.999,18.771,8.731,10.1585,12.6738,1.4481,23.6860,16.8144,8.8992,27.7770,19.6313,6.0000,5.7312,55.4691,-29.8197
3.5700,3.5107,3.5100,0.0553,0.1050,0.0007,241.697,177.488,22.603,12.091,8.2233,10.7279,1.5296,24.6622,18.0913,9.0807,28.1812,20.2271,6.0000,5.1177,58.7612,-36.3512
3.6700,3.6195,3.6200,0.0403,0.1057,-0.0005,241.038,179.407,26.005,15.660,6.2824,8.7919,1.3167,25.2817,18.9618,9.2106,28.4988,20.7361,6.0000,4.8529,61.1357,-40.7008
3.7800,3.7293,3.7300,0.0410,0.0996,-0.0007,240.309,178.264,27.422,17.427,4.4198,6.9388,0.9886,25.7689,19.7261,9.3192,28.8276,21.3083,6.0000,4.7552,62.6601,-43.5109
3.8900,3.8285,3.8300,0.0523,0.1018,-0.0015,241.578,178.042,26.711,18.727,2.9205,5.4405,0.6516,26.0755,20.3096,9.3869,29.1341,21.8928,6.0000,4.8024,62.6479,-44.0952
3.9900,3.9388,3.9400,0.0414,0.0920,-0.0012,240.910,177.597,26.992,18.396,1.4460,3.9452,0.2570,26.2142,20.6980,9.4107,29.3931,22.4340,6.0000,4.9477,61.3728,-42.8560
4.1000,4.0409,4.0400,0.0514,0.0888,0.0009,241.285,178.301,26.369,17.218,0.2327,2.6821,-0.1163,26.2276,20.9798,9.3937,29.6558,23.0394,6.0000,5.2193,59.0155,-39.8919
4.1800,4.1295,4.1300,0.0429,0.0909,-0.0005,241.227,179.690,24.429,15.251,-0.7780,1.5952,-0.4640,26.1525,21.0933,9.3517,29.8323,23.4858,6.0000,5.4984,56.9791,-36.9427
4.2800,4.2296,4.2300,0.0483,0.1102,-0.0004,240.527,179.042,23.444,13.172,-1.8328,0.4164,-0.8732,25.9643,21.1291,9.2620,30.0352,24.0504,6.0000,5.9571,54.3456,-32.6470
4.4100,4.3507,4.3500,0.0531,0.1127,0.0007,240.240,177.850,20.971,9.899,-3.0000,-0.9593,-1.4455,25.5768,21.0065,9.0707,30.2695,24.7943,6.0000,6.7494,51.0981,-26.5854
4.5300,4.4710,4.4700,0.0523,0.0974,0.0010,241.398,178.821,18.312,7.506,-2.7173,-0.8895,-2.1007,25.2585,20.9074,8.8278,30.4562,25.4896,6.0000,7.4689,48.6070,-21.8218
4.6200,4.5695,4.5700,0.0415,0.1180,-0.0005,240.072,179.314,17.076,6.123,-1.3223,0.4297,-1.5152,25.1507,20.9570,8.6969,30.5775,26.0158,6.0000,7.8804,47.0161,-19.6108
4.7500,4.6883,4.6900,0.0503,0.0990,-0.0018,239.215,178.854,15.423,5.240,0.1227,1.8679,-0.8009,25.1653,21.1991,8.5922,30.7245,26.7817,6.0000,8.2816,44.8845,-17.8600
4.8400,4.7911,4.7900,0.0407,0.0909,0.0011,237.982,177.736,14.550,4.705,1.1659,2.9711,-0.2701,25.2786,21.4758,8.5721,30.8068,27.3154,6.0000,8.4306,43.4361,-17.3924
4.9400,4.8911,4.8900,0.0481,0.0928,0.0010,238.589,178.274,15.252,4.401,2.0778,4.0006,0.1908,25.4901,21.8806,8.5930,30.8799,27.9109,6.0000,8.4813,41.7945,-17.4326
5.0400,4.9920,4.9900,0.0413,0.0927,0.0019,238.639,177.188,15.194,4.675,2.8689,4.9665,0.5775,25.7802,22.3817,8.6522,30.9338,28.5085,6.0000,8.4214,40.0739,-17.9814
5.1500,5.0889,5.0900,0.0599,0.0921,-0.0011,238.525,179.536,15.131,5.005,3.5475,5.8781,0.8849,26.1766,23.0378,8.7519,30.9712,29.1674,6.0000,8.2410,38.0374,-19.1230
5.2500,5.1881,5.1900,0.0590,0.1145,-0.0019,240.396,180.951,15.605,5.556,4.1197,6.7441,1.1027,26.5959,23.7247,8.8641,30.9858,29.7672,6.0000,7.9849,36.0040,-20.6219
5.3600,5.3117,5.3100,0.0470,0.1023,0.0017,241.556,180.152,16.913,6.294,4.6713,7.7340,1.2127,27.1091,24.5752,8.9965,30.9809,30.4271,6.0000,7.6142,33.4954,-22.7560
5.4700,5.4191,5.4200,0.0498,0.1088,-0.0010,241.131,180.219,17.676,7.352,5.0454,8.5965,1.0799,27.6634,25.5204,9.1130,30.9547,31.0866,6.0000,7.1595,30.6011,-25.3244
5.5800,5.5290,5.5300,0.0446,0.1114,-0.0010,241.340,181.081,18.760,8.814,5.2309,9.2825,0.3405,28.2332,26.5284,9.1417,30.9078,31.7449,6.0000,6.6321,27.1501,-27.7877
5.7000,5.6498,5.6500,0.0460,0.1016,-0.0002,239.757,179.337,20.626,9.903,4.3675,7.4247,-1.0363,28.7633,27.4316,9.0263,30.8339,32.4610,6.0000,6.2048,22.3845,-28.6691
5.8200,5.7607,5.7600,0.0592,0.0896,0.0007,240.247,180.695,21.575,9.973,3.4107,4.8823,-1.0454,29.1695,28.0056,8.9045,30.7372,33.1745,6.0000,6.1139,16.8841,-27.8347
5.9000,5.8520,5.8500,0.0413,0.0942,0.0019,238.939,179.212,21.454,9.119,2.7961,2.9555,-0.7286,29.3866,28.2186,8.8531,30.6606,33.6483,6.0000,6.2465,13.2177,-26.6617
6.0100,5.9489,5.9500,0.0573,0.0858,-0.0011,240.525,179.264,19.807,8.044,2.2951,1.0986,-0.0279,29.6361,28.3308,8.8685,30.5401,34.2972,6.0000,6.6645,8.6284,-25.0117
6.0900,6.0382,6.0400,0.0420,0.1084,-0.0018,239.281,179.776,17.612,7.125,2.0658,0.7995,1.2220,29.8001,28.4148,8.9699,30.4418,34.7671,6.0000,7.0248,5.7819,-24.5526
6.2000,6.1494,6.1500,0.0438,0.1116,-0.0006,239.757,178.459,15.825,6.859,1.9202,2.5577,1.3178,30.0110,28.6951,9.1132,30.2930,35.4100,6.0000,7.3901,2.4177,-24.4788
6.3200,6.2695,6.2700,0.0475,0.0934,-0.0005,238.895,180.064,15.641,6.257,1.6752,4.2874,0.8611,30.2131,29.2004,9.2187,30.1133,36.1072,6.0000,7.6038,-0.8144,-24.6191
6.4201,6.3685,6.3701,0.0409,0.0950,-0.0015,239.130,179.703,14.689,6.304,1.4166,5.5530,0.3989,30.3531,29.7611,9.2563,29.9507,36.6848,6.0000,7.6448,-3.3132,-24.7879
6.5201,6.4701,6.4701,0.0469,0.1177,0.0001,238.592,179.032,14.440,6.294,1.1181,6.6814,-0.0656,30.4632,30.4341,9.2476,29.7772,37.2591,6.0000,7.5723,-5.7274,-24.9691
6.6401,6.5898,6.5901,0.0476,0.0840,-0.0002,239.993,179.385,15.118,6.596,0.7151,7.8800,-0.5806,30.5509,31.3733,9.1807,29.5555,37.9441,6.0000,7.3506,-8.6025,-25.2003
6.7401,6.6783,6.6801,0.0524,0.0826,-0.0017,240.053,177.831,15.872,6.893,0.3833,8.6845,-0.9070,30.5834,32.2542,9.0859,29.3605,38.5116,6.0000,7.0660,-11.0440,-25.4374
6.8201,6.7720,6.7701,0.0436,0.0870,0.0020,240.461,178.354,16.282,6.890,0.0255,9.4248,-1.1321,30.5803,33.0176,8.9947,29.1984,38.9633,6.0000,6.7818,-13.0695,-25.7272
6.9101,6.8617,6.8601,0.0473,0.1055,0.0017,239.389,178.933,16.591,7.198,-0.3557,10.0973,-0.9838,30.5501,33.9123,8.9255,29.0099,39.4694,6.0000,6.4482,-15.4733,-26.4776
7.0201,6.9700,6.9701,0.0416,0.1190,-0.0000,240.735,178.903,16.886,7.629,-0.0307,8.1431,0.2117,30.5473,34.8076,8.9461,28.7716,40.0849,6.0000,6.2807,-18.5769,-27.4539
7.1401,7.0920,7.0901,0.0416,0.0823,0.0019,240.788,179.349,16.557,7.568,0.6360,5.3376,0.5749,30.6203,35.4630,9.0117,28.5029,40.7528,6.0000,6.4262,-21.8080,-27.4384
7.2301,7.1808,7.1801,0.0428,0.0957,0.0007,241.115,180.016,15.808,7.285,1.1457,3.4571,0.3737,30.7167,35.7847,9.0289,28.2961,41.2516,6.0000,6.6844,-23.9001,-26.4577
7.3401,7.2818,7.2801,0.0564,0.0993,0.0017,241.923,179.597,15.291,6.964,0.5392,4.2510,-0.3384,30.7673,36.2649,8.9929,28.0382,41.8591,6.0000,6.8893,-26.0222,-25.2780
7.4301,7.3790,7.3801,0.0409,0.0810,-0.0011,242.098,180.795,15.233,6.782,-0.2456,5.4005,-0.3017,30.7385,36.7603,8.9672,27.8235,42.3546,6.0000,6.9543,-27.5374,-24.7916
7.5201,7.4716,7.4701,0.0443,0.0977,0.0015,242.540,178.927,15.910,6.777,-0.9194,6.3206,-0.1514,30.6493,37.3374,8.9556,27.6062,42.8490,6.0000,6.9382,-28.9191,-24.7473
7.6301,7.5714,7.5701,0.0507,0.0932,0.0013,240.989,178.814,16.412,7.052,-1.6297,7.2272,0.0680,30.4627,38.1411,8.9656,27.3379,43.4520,6.0000,6.8212,-30.4862,-25.2961
7.7201,7.6683,7.6701,0.0433,0.1117,-0.0017,239.488,178.610,16.537,7.061,-2.3012,8.0271,0.2955,30.2498,38.8700,8.9938,27.1168,43.9447,6.0000,6.6552,-31.7058,-26.2456
7.8501,7.7884,7.7901,0.0563,0.1152,-0.0016,238.148,178.496,17.332,7.727,-2.5557,8.0222,0.1086,29.9287,39.8947,9.0142,26.7961,44.6557,6.0000,6.4285,-33.3597,-27.4552
7.9701,7.9090,7.9101,0.0572,0.0966,-0.0011,240.166,179.891,18.048,7.935,-1.2224,5.4047,-0.1231,29.7879,40.5324,8.9997,26.5000,45.3120,6.0000,6.5127,-34.5394,-26.9274
8.0701,8.0102,8.0101,0.0535,0.0981,0.0001,240.789,181.047,17.937,7.742,-0.2628,3.5506,0.0527,29.7384,40.9191,9.0017,26.2541,45.8593,6.0000,6.7318,-35.2099,-26.0004
