t_s,stamp_s,t_true,latency_s,period_s,stamp_err_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0600,0.0019,0.0000,0.0521,0.1063,0.0019,240.003,179.826,6.675,1.516,0.0000,0.0000,0.0000,0.0138,-11.9656,9.9970,6.3283,6.1476,6.0000,19.5862,19.2190,-11.6270
0.1600,0.1091,0.1100,0.0434,0.0804,-0.0009,239.998,179.831,6.564,1.470,0.7097,1.7386,-0.1506,0.0877,-11.7850,9.9814,6.8491,6.4448,6.0000,19.8387,20.3489,-11.4315
0.2500,0.2018,0.2000,0.0443,0.1188,0.0018,239.996,179.836,6.398,1.425,1.2508,3.0187,-0.2565,0.2054,-11.5016,9.9574,7.2844,6.7638,6.0000,19.9771,21.1839,-11.2813
0.3700,0.3190,0.3200,0.0485,0.0832,-0.0010,239.993,179.839,6.189,1.369,1.9144,4.5495,-0.3759,0.4316,-10.9637,9.9129,7.8066,7.2587,6.0000,20.0361,22.0328,-11.1185
0.4700,0.4118,0.4100,0.0501,0.0982,0.0018,239.990,179.841,5.966,1.321,2.3674,5.5805,-0.4508,0.6753,-10.3898,9.8667,8.1838,7.7248,6.0000,19.9790,22.5119,-11.0164
0.5700,0.5105,0.5100,0.0598,0.0941,0.0005,239.991,179.844,5.669,1.265,2.8245,6.6225,-0.5208,0.9640,-9.7132,9.8138,8.5025,8.2328,6.0000,19.8275,22.7837,-10.9461
0.6700,0.6117,0.6100,0.0590,0.0881,0.0017,239.988,179.844,5.397,1.214,3.2321,7.5677,-0.5781,1.2927,-8.9434,9.7552,8.7580,8.7752,6.0000,19.5827,22.8492,-10.9104
0.7600,0.6983,0.7000,0.0591,0.1188,-0.0017,240.012,179.843,5.431,1.222,3.5557,8.3454,-0.6200,1.6185,-8.1777,9.6987,8.9310,9.2865,6.0000,19.2836,22.7217,-10.9105
0.8700,0.8187,0.8200,0.0416,0.1047,-0.0013,240.010,179.838,5.942,1.322,3.9222,9.2882,-0.6630,2.0497,-7.1564,9.6259,9.0661,9.9320,6.0000,18.8176,22.3250,-10.9577
0.9900,0.9281,0.9300,0.0564,0.1142,-0.0019,240.011,179.829,6.451,1.423,4.1912,10.0704,-0.6908,2.5535,-5.9443,9.5429,9.1152,10.6497,6.0000,18.1848,21.5769,-11.0769
1.1100,1.0497,1.0500,0.0562,0.1113,-0.0003,240.008,179.819,6.973,1.540,4.4091,10.8474,-0.7096,3.0831,-4.6392,9.4578,9.0608,11.3671,6.0000,17.4245,20.4799,-11.2806
1.2300,1.1700,1.1700,0.0526,0.0930,-0.0000,240.005,179.808,7.469,1.670,4.5447,11.5564,-0.7175,3.6285,-3.2493,9.3717,8.9040,12.0691,6.0000,16.5405,19.0045,-11.5870
1.3300,1.2719,1.2700,0.0543,0.0810,0.0019,240.006,179.794,7.937,1.800,4.5915,12.1024,-0.7162,4.0875,-2.0314,9.3002,8.6974,12.6321,6.0000,15.7130,17.4529,-11.9388
1.4100,1.3600,1.3600,0.0441,0.1134,0.0000,240.002,179.778,8.394,1.939,4.5788,12.5631,-0.7090,4.4531,-1.0205,9.2436,8.4845,13.0621,6.0000,14.9945,15.9751,-12.2978
1.5400,1.4799,1.4800,0.0577,0.1139,-0.0001,239.997,179.753,9.049,2.164,4.4749,13.1368,-0.6904,5.0341,0.6870,9.1539,8.0608,13.7165,6.0000,13.7340,13.0773,-13.0607
1.6500,1.5992,1.6000,0.0483,0.1195,-0.0008,240.005,179.719,9.849,2.459,4.2774,13.6648,-0.6594,5.5044,2.1900,9.0815,7.7367,14.2909,6.0000,12.6753,10.4539,-13.8344
1.7800,1.7218,1.7200,0.0588,0.0991,0.0018,240.012,179.681,10.512,2.762,4.0234,14.1439,-0.6118,6.0272,4.0284,9.0021,7.4552,15.0174,6.0000,11.4705,7.4071,-14.9080
1.8800,1.8212,1.8200,0.0583,0.1015,0.0012,240.027,179.641,10.961,3.018,3.7810,14.5066,-0.5568,6.4015,5.4841,8.9474,7.3175,15.6010,6.0000,10.5662,5.1799,-15.9076
1.9900,1.9282,1.9300,0.0551,0.1080,-0.0018,240.038,179.594,11.205,3.290,3.4955,14.8688,-0.4754,6.7830,7.1229,8.8962,7.2479,16.2569,6.0000,9.5814,2.9211,-17.2696
2.1000,2.0387,2.0400,0.0583,0.0812,-0.0013,240.055,179.524,11.406,3.589,3.2050,15.1939,-0.3631,7.1328,8.7971,8.8579,7.2652,16.9162,6.0000,8.5952,0.9241,-19.0496
2.1900,2.1316,2.1300,0.0559,0.1030,0.0016,239.942,179.458,13.173,4.427,2.9755,15.4326,-0.2329,7.3963,10.1904,8.8405,7.3439,17.4501,6.0000,7.7814,-0.4255,-20.9999
2.2900,2.2402,2.2400,0.0477,0.0963,0.0002,239.926,179.417,16.075,6.116,2.7209,15.6830,0.0391,7.6674,11.7590,8.8484,7.4982,18.0296,6.0000,6.8728,-1.5590,-24.0181
2.4000,2.3416,2.3400,0.0577,0.1079,0.0016,239.935,179.389,19.171,8.431,2.5044,15.2202,0.9443,7.9398,13.3985,8.9467,7.7467,18.6405,6.0000,5.9971,-2.1197,-28.8890
2.5000,2.4485,2.4500,0.0472,0.0948,-0.0015,239.959,179.388,22.279,11.560,2.1903,12.5029,1.0997,8.1569,14.6364,9.0555,8.0406,19.1632,6.0000,5.4404,-1.4810,-33.5603
2.6000,2.5499,2.5500,0.0424,0.0999,-0.0001,239.946,179.411,24.546,14.328,1.8284,10.0342,0.9489,8.3372,15.6277,9.1491,8.3950,19.6469,6.0000,5.0817,0.8151,-37.6253
2.7100,2.6518,2.6500,0.0565,0.0988,0.0018,239.967,179.441,26.081,16.493,1.3680,7.6520,0.7231,8.4817,16.4467,9.2259,8.8485,20.1257,6.0000,4.8805,5.6888,-40.6606
2.8000,2.7516,2.7500,0.0433,0.1060,0.0016,239.977,179.462,26.769,17.666,0.8261,5.5698,0.4766,8.5504,16.9315,9.2665,9.2640,20.4703,6.0000,4.8418,11.3945,-41.7002
2.9200,2.8597,2.8600,0.0555,0.1175,-0.0003,239.975,179.467,26.632,17.684,0.1218,3.5951,0.1973,8.5601,17.3546,9.2886,9.8710,20.8564,6.0000,4.9532,20.5166,-40.8954
3.0300,2.9784,2.9800,0.0488,0.0837,-0.0016,239.969,179.453,25.509,16.266,-0.7878,1.7617,-0.1144,8.4729,17.5495,9.2760,10.4692,21.1344,6.0000,5.2258,29.1010,-38.1668
3.1200,3.0693,3.0700,0.0419,0.0853,-0.0007,239.960,179.428,23.619,14.123,-1.5539,0.5597,-0.3634,8.3251,17.5886,9.2403,10.9488,21.3820,6.0000,5.6139,34.6550,-34.6572
3.2200,3.1588,3.1600,0.0542,0.0804,-0.0011,239.914,179.404,20.861,11.318,-2.3462,-0.5686,-0.6717,8.0774,17.5139,9.1657,11.4469,21.7159,6.0000,6.2274,38.7067,-30.0267
3.3100,3.2516,3.2500,0.0599,0.1197,0.0016,239.909,179.395,17.695,8.452,-3.0947,-1.5897,-1.1956,7.8056,17.3750,9.0354,11.8582,22.0654,6.0000,6.8845,40.8123,-25.6912
3.4200,3.3716,3.3700,0.0423,0.1141,0.0016,239.917,179.405,14.312,5.657,-1.8752,-0.4405,-1.6973,7.5984,17.3258,8.8504,12.3059,22.5497,6.0000,7.5728,42.0372,-21.6868
3.5500,3.4892,3.4900,0.0595,0.1168,-0.0008,240.061,179.436,13.977,4.770,-0.3265,1.1279,-1.2039,7.5546,17.4714,8.6939,12.7474,23.1918,6.0000,8.1689,42.2435,-18.8663
3.6700,3.6099,3.6100,0.0505,0.1053,-0.0001,240.058,179.470,14.097,4.398,1.0056,2.5344,-0.6798,7.6804,17.7816,8.6147,13.0618,23.8388,6.0000,8.5017,41.6270,-17.5431
3.7700,3.7202,3.7200,0.0435,0.0814,0.0002,240.041,179.495,14.319,4.301,2.0498,3.7125,-0.2288,7.8892,18.1577,8.5937,13.2505,24.4080,6.0000,8.6216,40.6283,-17.1457
3.8600,3.8103,3.8100,0.0422,0.1039,0.0003,240.028,179.500,14.542,4.337,2.7836,4.6124,0.1107,8.1461,18.5814,8.6068,13.3611,24.9363,6.0000,8.6122,39.3772,-17.2559
