t_s,stamp_s,t_true,latency_s,period_s,stamp_err_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0500,-0.0078,0.0000,0.0429,0.0886,-0.0078,240.343,181.367,6.759,2.000,0.0000,0.0000,0.0000,0.0099,-11.9754,9.9978,6.2743,6.1214,6.0000,19.5550,19.0940,-11.6483
0.1300,0.0901,0.0900,0.0374,0.1182,0.0001,241.642,182.259,6.603,2.000,0.5846,1.4373,-0.1250,0.0591,-11.8546,9.9874,6.6967,6.3491,6.0000,19.7741,20.0326,-11.4868
0.2800,0.2169,0.2100,0.0635,0.0881,0.0069,240.842,182.856,6.454,2.000,1.3087,3.1536,-0.2674,0.2548,-11.3836,9.9475,7.4216,6.8804,6.0000,20.0051,21.4242,-11.2365
0.3500,0.3019,0.3000,0.0402,0.1129,0.0019,241.956,180.272,6.507,2.000,1.8085,4.3073,-0.3576,0.3887,-11.0653,9.9212,7.7246,7.1710,6.0000,20.0360,21.9121,-11.1426
0.4800,0.4221,0.4200,0.0584,0.0998,0.0021,239.639,181.241,6.243,2.000,2.4153,5.6894,-0.4584,0.7023,-10.3266,9.8617,8.2184,7.7738,6.0000,19.9681,22.5484,-11.0079
0.5700,0.5201,0.5200,0.0412,0.1134,0.0001,239.216,181.369,6.029,2.000,2.8675,6.7211,-0.5271,0.9640,-9.7132,9.8138,8.5025,8.2328,6.0000,19.8275,22.7837,-10.9461
0.6900,0.6478,0.6400,0.0437,0.1176,0.0078,240.756,180.665,5.671,2.000,3.3446,7.8342,-0.5931,1.3628,-8.7790,9.7430,8.8012,8.8872,6.0000,19.5227,22.8359,-10.9077
0.8200,0.7641,0.7600,0.0512,0.0822,0.0041,241.889,180.262,6.119,2.000,3.7484,8.8293,-0.6433,1.8496,-7.6318,9.6594,9.0153,9.6364,6.0000,19.0431,22.5384,-10.9296
0.9100,0.8562,0.8500,0.0589,0.1030,0.0062,241.777,181.421,6.195,2.000,4.0020,9.5088,-0.6716,2.2142,-6.7632,9.5985,9.0940,10.1704,6.0000,18.6210,22.1130,-10.9890
1.0300,0.9632,0.9600,0.0623,0.0944,0.0032,240.699,180.957,6.612,2.000,4.2532,10.2717,-0.6965,2.7276,-5.5191,9.5147,9.1086,10.8896,6.0000,17.9454,21.2512,-11.1346
1.1100,1.0652,1.0600,0.0499,0.1181,0.0052,239.217,180.081,6.818,2.000,4.4236,10.9090,-0.7106,3.0831,-4.6392,9.4578,9.0608,11.3671,6.0000,17.4245,20.4799,-11.2806
1.2400,1.1790,1.1800,0.0583,0.1175,-0.0010,239.436,178.890,7.628,2.000,4.5522,11.6127,-0.7176,3.6743,-3.1299,9.3645,8.8864,12.1265,6.0000,16.4614,18.8631,-11.6179
1.3500,1.2941,1.3000,0.0450,0.1084,-0.0059,239.467,177.986,7.900,2.000,4.5932,12.2590,-0.7144,4.1792,-1.7816,9.2860,8.6481,12.7415,6.0000,15.5379,17.1042,-12.0215
1.4800,1.4038,1.4100,0.0648,0.1158,-0.0062,238.760,177.119,8.883,2.061,4.5481,12.8076,-0.7026,4.7687,-0.1107,9.1949,8.2652,13.4201,6.0000,14.3269,14.4883,-12.6799
1.5900,1.5295,1.5300,0.0508,0.1053,-0.0005,240.379,179.669,9.367,2.382,4.4009,13.3628,-0.6793,5.2508,1.3639,9.1205,7.9041,13.9722,6.0000,13.2476,11.8848,-13.3998
1.7000,1.6416,1.6400,0.0521,0.0871,0.0016,239.205,179.852,9.697,2.546,4.1982,13.8299,-0.6455,5.7101,2.8895,9.0500,7.6150,14.5650,6.0000,12.2069,9.2681,-14.2233
1.7900,1.7303,1.7300,0.0504,0.0888,0.0003,240.917,179.945,10.180,2.684,4.0002,14.1816,-0.6070,6.0658,4.1724,8.9963,7.4382,15.0750,6.0000,11.3794,7.1787,-15.0000
1.8900,1.8271,1.8200,0.0627,0.0831,0.0071,240.612,179.974,10.549,3.056,3.7810,14.5066,-0.5568,6.4375,5.6315,8.9423,7.3076,15.6602,6.0000,10.4764,4.9653,-16.0185
1.9700,1.9043,1.9100,0.0571,0.1167,-0.0057,239.858,178.554,11.172,3.309,3.5482,14.8058,-0.4921,6.7160,6.8222,8.9047,7.2541,16.1370,6.0000,9.7603,3.3130,-16.9962
2.1000,2.0373,2.0300,0.0622,0.1112,0.0073,239.938,180.350,11.440,3.644,3.2312,15.1659,-0.3750,7.1328,8.7971,8.8579,7.2652,16.9162,6.0000,8.5952,0.9241,-19.0496
2.2000,2.1545,2.1500,0.0482,0.1050,0.0046,241.354,179.011,13.797,4.731,2.9266,15.4822,-0.1963,7.4243,10.3464,8.8397,7.3562,17.5089,6.0000,7.6905,-0.5587,-21.2538
2.3100,2.2533,2.2600,0.0454,0.1074,-0.0067,242.212,179.665,16.395,6.649,2.6791,15.7188,0.1226,7.7192,12.0737,8.8575,7.5373,18.1430,6.0000,6.6939,-1.7292,-24.7909
2.4200,2.3631,2.3700,0.0452,0.0812,-0.0069,241.725,180.869,19.695,9.189,2.4247,14.4878,1.0775,7.9857,13.6659,8.9691,7.8004,18.7478,6.0000,5.8685,-2.0977,-29.8385
2.5200,2.4564,2.4600,0.0514,0.1142,-0.0036,241.288,181.555,21.467,11.444,2.1580,12.2552,1.0902,8.1962,14.8543,9.0758,8.1068,19.2633,6.0000,5.3538,-1.1728,-34.4442
2.6500,2.5849,2.5800,0.0646,0.0950,0.0049,241.171,179.275,23.883,15.019,1.6999,9.2980,0.8859,8.4105,16.0331,9.1876,8.5933,19.8719,6.0000,4.9677,2.7195,-39.2246
2.7500,2.6785,2.6800,0.0603,0.1064,-0.0015,240.371,180.923,24.816,17.315,1.2144,6.9958,0.6504,8.5182,16.6814,9.2465,9.0286,20.2844,6.0000,4.8502,8.0572,-41.2946
