t_s,stamp_s,t_true,latency_s,period_s,stamp_err_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0500,-0.0020,0.0000,0.0453,0.0886,-0.0020,240.343,181.367,6.759,2.000,0.0000,0.0000,0.0000,0.0099,-11.9754,9.9978,6.2743,6.1214,6.0000,19.5550,19.0940,-11.6483
0.1400,0.0900,0.0900,0.0416,0.1182,0.0000,241.642,182.259,6.603,2.000,0.5846,1.4373,-0.1250,0.0680,-11.8329,9.9855,6.7478,6.3804,6.0000,19.7967,20.1402,-11.4681
0.2700,0.2117,0.2100,0.0590,0.0881,0.0017,240.842,182.856,6.454,2.000,1.3087,3.1536,-0.2674,0.2378,-11.4242,9.9509,7.3763,6.8410,6.0000,19.9968,21.3462,-11.2512
0.3500,0.3005,0.3000,0.0435,0.1129,0.0005,241.956,180.272,6.507,2.000,1.8085,4.3073,-0.3576,0.3887,-11.0653,9.9212,7.7246,7.1710,6.0000,20.0360,21.9121,-11.1426
0.4800,0.4205,0.4200,0.0556,0.0998,0.0005,239.639,181.241,6.243,2.000,2.4153,5.6894,-0.4584,0.7023,-10.3266,9.8617,8.2184,7.7738,6.0000,19.9681,22.5484,-11.0079
0.5700,0.5200,0.5200,0.0441,0.1134,0.0000,239.216,181.369,6.029,2.000,2.8675,6.7211,-0.5271,0.9640,-9.7132,9.8138,8.5025,8.2328,6.0000,19.8275,22.7837,-10.9461
0.6900,0.6420,0.6400,0.0458,0.1176,0.0020,240.756,180.665,5.671,2.000,3.3446,7.8342,-0.5931,1.3628,-8.7790,9.7430,8.8012,8.8872,6.0000,19.5227,22.8359,-10.9077
0.8200,0.7610,0.7600,0.0508,0.0822,0.0010,241.889,180.262,6.119,2.000,3.7484,8.8293,-0.6433,1.8496,-7.6318,9.6594,9.0153,9.6364,6.0000,19.0431,22.5384,-10.9296
0.9100,0.8516,0.8500,0.0559,0.1030,0.0016,241.777,181.421,6.195,2.000,4.0020,9.5088,-0.6716,2.2142,-6.7632,9.5985,9.0940,10.1704,6.0000,18.6210,22.1130,-10.9890
1.0200,0.9608,0.9600,0.0582,0.0944,0.0008,240.699,180.957,6.612,2.000,4.2532,10.2717,-0.6965,2.6839,-5.6264,9.5218,9.1113,10.8297,6.0000,18.0066,21.3363,-11.1192
1.1100,1.0613,1.0600,0.0499,0.1181,0.0013,239.217,180.081,6.818,2.000,4.4236,10.9090,-0.7106,3.0831,-4.6392,9.4578,9.0608,11.3671,6.0000,17.4245,20.4799,-11.2806
1.2400,1.1797,1.1800,0.0555,0.1175,-0.0003,239.436,178.890,7.628,2.000,4.5522,11.6127,-0.7176,3.6743,-3.1299,9.3645,8.8864,12.1265,6.0000,16.4614,18.8631,-11.6179
1.3500,1.2985,1.3000,0.0466,0.1084,-0.0015,239.467,177.986,7.900,2.000,4.5932,12.2590,-0.7144,4.1792,-1.7816,9.2860,8.6481,12.7415,6.0000,15.5379,17.1042,-12.0215
1.4700,1.4085,1.4100,0.0598,0.1158,-0.0015,238.760,177.119,8.883,2.061,4.5481,12.8076,-0.7026,4.7240,-0.2420,9.2018,8.2983,13.3701,6.0000,14.4244,14.7126,-12.6210
1.5900,1.5299,1.5300,0.0505,0.1053,-0.0001,240.379,179.669,9.367,2.382,4.4009,13.3628,-0.6793,5.2508,1.3639,9.1205,7.9041,13.9722,6.0000,13.2476,11.8848,-13.3998
1.7000,1.6404,1.6400,0.0514,0.0871,0.0004,239.205,179.852,9.697,2.546,4.1982,13.8299,-0.6455,5.7101,2.8895,9.0500,7.6150,14.5650,6.0000,12.2069,9.2681,-14.2233
1.7900,1.7301,1.7300,0.0503,0.0888,0.0001,240.917,179.945,10.180,2.684,4.0002,14.1816,-0.6070,6.0658,4.1724,8.9963,7.4382,15.0750,6.0000,11.3794,7.1787,-15.0000
1.8800,1.8218,1.8200,0.0584,0.0831,0.0018,240.612,179.974,10.549,3.056,3.7810,14.5066,-0.5568,6.4015,5.4841,8.9474,7.3175,15.6010,6.0000,10.5662,5.1799,-15.9076
1.9700,1.9086,1.9100,0.0547,0.1167,-0.0014,239.858,178.554,11.172,3.309,3.5482,14.8058,-0.4921,6.7160,6.8222,8.9047,7.2541,16.1370,6.0000,9.7603,3.3130,-16.9962
2.0900,2.0318,2.0300,0.0582,0.1112,0.0018,239.938,180.350,11.440,3.644,3.2312,15.1659,-0.3750,7.1023,8.6436,8.8607,7.2600,16.8564,6.0000,8.6852,1.0901,-18.8650
2.2000,2.1511,2.1500,0.0488,0.1050,0.0011,241.354,179.011,13.797,4.731,2.9266,15.4822,-0.1963,7.4243,10.3464,8.8397,7.3562,17.5089,6.0000,7.6905,-0.5587,-21.2538
2.3100,2.2583,2.2600,0.0469,0.1074,-0.0017,242.212,179.665,16.395,6.649,2.6791,15.7188,0.1226,7.7192,12.0737,8.8575,7.5373,18.1430,6.0000,6.6939,-1.7292,-24.7909
2.4200,2.3683,2.3700,0.0468,0.0812,-0.0017,241.725,180.869,19.695,9.189,2.4247,14.4878,1.0775,7.9857,13.6659,8.9691,7.8004,18.7478,6.0000,5.8685,-2.0977,-29.8385
2.5200,2.4591,2.4600,0.0509,0.1142,-0.0009,241.288,181.555,21.467,11.444,2.1580,12.2552,1.0902,8.1962,14.8543,9.0758,8.1068,19.2633,6.0000,5.3538,-1.1728,-34.4442
2.6400,2.5812,2.5800,0.0598,0.0950,0.0012,241.171,179.275,23.883,15.019,1.6999,9.2980,0.8859,8.3968,15.9566,9.1804,8.5526,19.8279,6.0000,4.9873,2.2967,-38.9324
2.7400,2.6796,2.6800,0.0569,0.1064,-0.0004,240.371,180.923,24.816,17.315,1.2144,6.9958,0.6504,8.5099,16.6257,9.2417,8.9828,20.2455,6.0000,4.8557,7.4379,-41.1614
2.8500,2.7904,2.7900,0.0544,0.1071,0.0004,240.479,180.249,26.945,18.436,0.5838,4.8161,0.3757,8.5667,17.1368,9.2802,9.5101,20.6418,6.0000,4.8656,15.0593,-41.6661
2.9600,2.9014,2.9000,0.0528,0.1109,0.0014,238.883,179.021,25.406,17.764,-0.1647,2.9494,0.0944,8.5398,17.4453,9.2877,10.0849,20.9652,6.0000,5.0324,23.6923,-40.1025
3.0700,3.0201,3.0200,0.0478,0.0876,0.0001,239.906,179.944,24.318,15.544,-1.1240,1.2148,-0.2212,8.4159,17.5796,9.2632,10.6856,21.2381,6.0000,5.3782,31.8076,-36.7250
3.1700,3.1087,3.1100,0.0516,0.0815,-0.0013,240.068,180.354,22.097,13.252,-1.9034,0.0517,-0.4891,8.2123,17.5663,9.2086,11.2029,21.5415,6.0000,5.8980,36.9374,-32.3963
3.2500,3.2011,3.2000,0.0410,0.1015,0.0011,239.393,180.741,19.379,10.341,-2.6999,-1.0510,-0.8545,7.9867,17.4692,9.1324,11.5882,21.8274,6.0000,6.4442,39.5514,-28.5756
3.3700,3.3099,3.3100,0.0538,0.0887,-0.0001,240.030,178.750,15.862,6.981,-2.7364,-1.2995,-1.8081,7.6718,17.3274,8.9296,12.1103,22.3223,6.0000,7.2801,41.6097,-23.2867
3.4500,3.3988,3.4000,0.0455,0.0831,-0.0012,241.459,179.076,13.745,5.459,-1.4665,-0.0305,-1.5869,7.5701,17.3407,8.8077,12.4166,22.6916,6.0000,7.7319,42.1807,-20.8791
3.5500,3.4891,3.4900,0.0572,0.0948,-0.0009,240.392,179.385,13.541,4.866,-0.3265,1.1279,-1.2039,7.5546,17.4714,8.6939,12.7474,23.1918,6.0000,8.1689,42.2435,-18.8663
3.6500,3.5883,3.5900,0.0557,0.0974,-0.0017,240.337,180.340,14.036,4.644,0.7979,2.3095,-0.7654,7.6494,17.7189,8.6237,13.0159,23.7279,6.0000,8.4607,41.7758,-17.6945
3.7500,3.6885,3.6900,0.0560,0.0840,-0.0015,240.947,180.209,13.756,4.359,1.7813,3.4004,-0.3480,7.8406,18.0743,8.5948,13.2183,24.2924,6.0000,8.6088,40.8613,-17.1796
3.8300,3.7805,3.7800,0.0492,0.0804,0.0005,239.008,179.067,13.786,4.386,2.5508,4.3182,0.0007,8.0538,18.4315,8.5992,13.3306,24.7589,6.0000,8.6273,39.8312,-17.1723
3.9200,3.8704,3.8700,0.0409,0.0996,0.0004,239.516,180.594,13.852,4.580,3.2140,5.1854,0.3210,8.3487,18.9064,8.6310,13.4029,25.2938,6.0000,8.5473,38.3573,-17.5608
4.0200,3.9703,3.9700,0.0447,0.1053,0.0003,238.145,179.565,14.405,4.784,3.8280,6.1001,0.6417,8.7337,19.5207,8.6965,13.4150,25.8933,6.0000,8.3415,36.3047,-18.4815
4.1400,4.0797,4.0800,0.0575,0.0997,-0.0003,238.937,180.793,15.720,5.489,4.3535,7.0589,0.9477,9.2576,20.3727,8.8114,13.3348,26.6082,6.0000,7.9489,33.1806,-20.3139
4.2300,4.1782,4.1800,0.0451,0.1023,-0.0018,240.710,179.591,16.089,6.391,4.6917,7.8983,1.1707,9.6818,21.0909,8.9181,13.2077,27.1327,6.0000,7.5643,30.2664,-22.2709
4.3400,4.2886,4.2900,0.0410,0.1121,-0.0014,240.334,180.800,18.020,7.224,4.9023,8.8025,1.2815,10.2201,22.0588,9.0545,12.9768,27.7505,6.0000,7.0059,25.8394,-25.3903
4.4700,4.4082,4.4100,0.0508,0.0909,-0.0018,239.097,180.769,20.202,8.921,4.4251,7.8480,0.3411,10.7965,23.0767,9.1048,12.6021,28.4337,6.0000,6.4304,18.6204,-28.3675
4.5700,4.5105,4.5100,0.0512,0.1074,0.0005,239.173,180.452,20.201,9.880,3.7535,5.4884,-0.0452,11.1645,23.5918,9.0959,12.2771,28.9378,6.0000,6.2575,11.7593,-29.1350
