t_s,stamp_s,t_true,latency_s,period_s,stamp_err_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.1500,-0.0020,0.0000,0.1453,0.1182,0.0000,240.343,181.367,6.759,2.000,0.0000,0.0000,0.0000,0.0776,-11.8096,9.9835,6.7987,6.4123,6.0000,19.8182,20.2456,-11.4496
0.2400,0.0900,0.0900,0.1416,0.0881,0.0017,241.642,182.259,6.603,2.000,0.5846,1.4373,-0.1250,0.1900,-11.5384,9.9604,7.2378,6.7261,6.0000,19.9658,21.0996,-11.2968
0.3700,0.2117,0.2100,0.1590,0.1129,0.0005,240.842,182.856,6.454,2.000,1.3087,3.1536,-0.2674,0.4316,-10.9637,9.9129,7.8066,7.2587,6.0000,20.0361,22.0328,-11.1185
0.4500,0.3005,0.3000,0.1435,0.0998,0.0005,241.956,180.272,6.507,2.000,1.8085,4.3073,-0.3576,0.6228,-10.5132,9.8766,8.1129,7.6280,6.0000,19.9980,22.4327,-11.0343
0.5800,0.4205,0.4200,0.1556,0.1134,0.0000,239.639,181.241,6.243,2.000,2.4153,5.6894,-0.4584,0.9952,-9.6403,9.8082,8.5309,8.2856,6.0000,19.8072,22.7993,-10.9409
0.6700,0.5200,0.5200,0.1441,0.1176,0.0020,239.216,181.369,6.029,2.000,2.8675,6.7211,-0.5271,1.2927,-8.9434,9.7552,8.7580,8.7752,6.0000,19.5827,22.8492,-10.9104
0.7900,0.6420,0.6400,0.1458,0.0822,0.0010,240.756,180.665,5.671,2.000,3.3446,7.8342,-0.5931,1.7328,-7.9082,9.6792,8.9763,9.4607,6.0000,19.1674,22.6400,-10.9181
0.9200,0.7610,0.7600,0.1508,0.1030,0.0016,241.889,180.262,6.119,2.000,3.7484,8.8293,-0.6433,2.2559,-6.6632,9.5917,9.0991,10.2302,6.0000,18.5696,22.0542,-10.9980
1.0100,0.8516,0.8500,0.1559,0.0944,0.0008,241.777,181.421,6.195,2.000,4.0020,9.5088,-0.6716,2.6402,-5.7330,9.5288,9.1133,10.7697,6.0000,18.0669,21.4189,-11.1045
1.1200,0.9608,0.9600,0.1582,0.1181,0.0013,240.699,180.957,6.612,2.000,4.2532,10.2717,-0.6965,3.1280,-4.5265,9.4506,9.0516,11.4264,6.0000,17.3555,20.3718,-11.3019
1.2100,1.0613,1.0600,0.1499,0.1175,-0.0003,239.217,180.081,6.818,2.000,4.4236,10.9090,-0.7106,3.5369,-3.4866,9.3860,8.9371,11.9538,6.0000,16.6962,19.2785,-11.5279
1.3400,1.1797,1.1800,0.1555,0.1084,-0.0015,239.436,178.890,7.628,2.000,4.5522,11.6127,-0.7176,4.1334,-1.9067,9.2931,8.6731,12.6869,6.0000,15.6258,17.2802,-11.9796
1.4500,1.2985,1.3000,0.1466,0.1158,-0.0015,239.467,177.986,7.900,2.000,4.5932,12.2590,-0.7144,4.6341,-0.5034,9.2157,8.3629,13.2689,6.0000,14.6173,15.1491,-12.5077
1.5700,1.4085,1.4100,0.1598,0.1053,-0.0001,238.760,177.119,8.883,2.061,4.5481,12.8076,-0.7026,5.1646,1.0919,9.1338,7.9649,13.8688,6.0000,13.4411,12.3622,-13.2619
1.6900,1.5299,1.5300,0.1505,0.0871,0.0004,240.379,179.669,9.367,2.382,4.4009,13.3628,-0.6793,5.6694,2.7488,9.0562,7.6381,14.5096,6.0000,12.3000,9.5040,-14.1435
1.8000,1.6404,1.6400,0.1514,0.0888,0.0001,239.205,179.852,9.697,2.546,4.1982,13.8299,-0.6455,6.1041,4.3168,8.9906,7.4220,15.1328,6.0000,11.2884,6.9513,-15.0936
1.8900,1.7301,1.7300,0.1503,0.0831,0.0018,240.917,179.945,10.180,2.684,4.0002,14.1816,-0.6070,6.4375,5.6315,8.9423,7.3076,15.6602,6.0000,10.4764,4.9653,-16.0185
1.9800,1.8218,1.8200,0.1584,0.1167,-0.0014,240.612,179.974,10.549,3.056,3.7810,14.5066,-0.5568,6.7497,6.9724,8.9004,7.2506,16.1969,6.0000,9.6708,3.1159,-17.1313
2.0700,1.9086,1.9100,0.1547,0.1112,0.0018,239.858,178.554,11.172,3.309,3.5482,14.8058,-0.4921,7.0405,8.3372,8.8668,7.2518,16.7367,6.0000,8.8649,1.4311,-18.5112
2.1900,2.0318,2.0300,0.1582,0.1050,0.0011,239.938,180.350,11.440,3.644,3.2312,15.1659,-0.3750,7.3963,10.1904,8.8405,7.3439,17.4501,6.0000,7.7814,-0.4255,-20.9999
2.3000,2.1511,2.1500,0.1488,0.1074,-0.0017,241.354,179.011,13.797,4.731,2.9266,15.4822,-0.1963,7.6934,11.9165,8.8524,7.5174,18.0864,6.0000,6.7830,-1.6468,-24.3948
2.4100,2.2583,2.2600,0.1469,0.0812,-0.0017,242.212,179.665,16.395,6.649,2.6791,15.7188,0.1226,7.9629,13.5334,8.9579,7.7732,18.6943,6.0000,5.9317,-2.1145,-29.3636
2.5200,2.3683,2.3700,0.1468,0.1142,-0.0009,241.725,180.869,19.695,9.189,2.4247,14.4878,1.0775,8.1962,14.8543,9.0758,8.1068,19.2633,6.0000,5.3538,-1.1728,-34.4442
2.6200,2.4591,2.4600,0.1509,0.0950,0.0012,241.288,181.555,21.467,11.444,2.1580,12.2552,1.0902,8.3680,15.7968,9.1652,8.4727,19.7383,6.0000,5.0313,1.5140,-38.3058
2.7400,2.5812,2.5800,0.1598,0.1064,-0.0004,241.171,179.275,23.883,15.019,1.6999,9.2980,0.8859,8.5099,16.6257,9.2417,8.9828,20.2455,6.0000,4.8557,7.4379,-41.1614
2.8400,2.6796,2.6800,0.1569,0.1071,0.0004,240.371,180.923,24.816,17.315,1.2144,6.9958,0.6504,8.5648,17.0992,9.2780,9.4600,20.6087,6.0000,4.8583,14.3056,-41.7081
2.9500,2.7904,2.7900,0.1544,0.1109,0.0014,240.479,180.249,26.945,18.436,0.5838,4.8161,0.3757,8.5461,17.4248,9.2883,10.0309,20.9390,6.0000,5.0105,22.8991,-40.3231
3.0600,2.9014,2.9000,0.1528,0.0876,0.0001,238.883,179.021,25.406,17.764,-0.1647,2.9494,0.0944,8.4315,17.5740,9.2668,10.6320,21.2112,6.0000,5.3370,31.1660,-37.1060
3.1700,3.0201,3.0200,0.1478,0.0815,-0.0013,239.906,179.944,24.318,15.544,-1.1240,1.2148,-0.2212,8.2123,17.5663,9.2086,11.2029,21.5415,6.0000,5.8980,36.9374,-32.3963
3.2700,3.1087,3.1100,0.1516,0.1015,0.0011,240.068,180.354,22.097,13.252,-1.9034,0.0517,-0.4891,7.9234,17.4352,9.1048,11.6801,21.9046,6.0000,6.5940,40.0335,-27.5954
3.3500,3.2011,3.2000,0.1410,0.0887,-0.0001,239.393,180.741,19.379,10.341,-2.6999,-1.0510,-0.8545,7.7107,17.3376,8.9639,12.0283,22.2346,6.0000,7.1535,41.3868,-24.0258
3.4700,3.3099,3.3100,0.1538,0.0831,-0.0012,240.030,178.750,15.862,6.981,-2.7364,-1.2995,-1.8081,7.5574,17.3570,8.7814,12.4875,22.7884,6.0000,7.8308,42.2415,-20.3973
3.5500,3.3988,3.4000,0.1455,0.0948,-0.0009,241.459,179.076,13.745,5.459,-1.4665,-0.0305,-1.5869,7.5546,17.4714,8.6939,12.7474,23.1918,6.0000,8.1689,42.2435,-18.8663
3.6500,3.4891,3.4900,0.1572,0.0974,-0.0017,240.392,179.385,13.541,4.866,-0.3265,1.1279,-1.2039,7.6494,17.7189,8.6237,13.0159,23.7279,6.0000,8.4607,41.7758,-17.6945
3.7500,3.5883,3.5900,0.1557,0.0840,-0.0015,240.337,180.340,14.036,4.644,0.7979,2.3095,-0.7654,7.8406,18.0743,8.5948,13.2183,24.2924,6.0000,8.6088,40.8613,-17.1796
3.8500,3.6885,3.6900,0.1560,0.0804,0.0005,240.947,180.209,13.756,4.359,1.7813,3.4004,-0.3480,8.1146,18.5305,8.6039,13.3516,24.8770,6.0000,8.6185,39.5327,-17.2229
3.9300,3.7805,3.7800,0.1492,0.0996,0.0004,239.008,179.067,13.786,4.386,2.5508,4.3182,0.0007,8.3847,18.9638,8.6362,13.4073,25.3536,6.0000,8.5321,38.1728,-17.6294
4.0200,3.8704,3.8700,0.1409,0.1053,0.0003,239.516,180.594,13.852,4.580,3.2140,5.1854,0.3210,8.7337,19.5207,8.6965,13.4150,25.8933,6.0000,8.3415,36.3047,-18.4815
