t_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0500,240.684,182.908,6.844,2.000,0.0000,0.0000,0.0000,0.0099,-11.9754,9.9978,6.2743,6.1214,6.0000,19.5550,19.0940,-11.6483
0.1500,238.899,178.550,6.380,2.000,0.6474,1.5887,-0.1379,0.0776,-11.8096,9.9835,6.7987,6.4123,6.0000,19.8182,20.2456,-11.4496
0.2500,242.345,178.592,6.018,2.000,1.2508,3.0187,-0.2565,0.2054,-11.5016,9.9574,7.2844,6.7638,6.0000,19.9771,21.1839,-11.2813
0.3500,241.435,182.008,5.965,2.000,1.8085,4.3073,-0.3576,0.3887,-11.0653,9.9212,7.7246,7.1710,6.0000,20.0360,21.9121,-11.1426
0.4500,241.676,180.201,6.273,2.000,2.3190,5.4705,-0.4431,0.6228,-10.5132,9.8766,8.1129,7.6280,6.0000,19.9980,22.4327,-11.0343
0.5500,239.094,182.972,5.463,2.000,2.7810,6.5228,-0.5144,0.9029,-9.8563,9.8249,8.4436,8.1282,6.0000,19.8653,22.7462,-10.9575
0.6500,236.749,179.630,5.396,2.000,3.1936,7.4772,-0.5729,1.2240,-9.1044,9.7673,8.7122,8.6643,6.0000,19.6391,22.8496,-10.9147
0.7500,235.010,181.992,5.680,2.000,3.5557,8.3454,-0.6200,1.5810,-8.2660,9.7052,8.9145,9.2288,6.0000,19.3205,22.7445,-10.9089
0.8500,238.811,181.954,6.018,2.000,3.8664,9.1379,-0.6568,1.9689,-7.3487,9.6394,9.0479,9.8134,6.0000,18.9105,22.4174,-10.9450
0.9500,240.663,184.088,5.936,2.000,4.1243,9.8642,-0.6842,2.3822,-6.3591,9.5709,9.1103,10.4098,6.0000,18.4100,21.8638,-11.0285
1.0500,240.433,184.523,6.933,2.000,4.3281,10.5326,-0.7031,2.8157,-5.3028,9.5005,9.1009,11.0094,6.0000,17.8204,21.0736,-11.1671
1.1500,242.490,182.090,7.052,2.000,4.4759,11.1505,-0.7141,3.2636,-4.1850,9.4291,9.0198,11.6035,6.0000,17.1434,20.0318,-11.3702
1.2500,244.310,184.004,7.487,2.000,4.5652,11.7242,-0.7178,3.7202,-3.0100,9.3574,8.8681,12.1837,6.0000,16.3815,18.7187,-11.6497
1.3500,244.482,182.557,8.347,2.000,4.5932,12.2590,-0.7144,4.1792,-1.7816,9.2860,8.6481,12.7415,6.0000,15.5379,17.1042,-12.0215
1.4500,243.963,184.095,8.328,2.000,4.5556,12.7593,-0.7040,4.6341,-0.5034,9.2157,8.3629,13.2689,6.0000,14.6173,15.1491,-12.5077
1.5500,244.270,184.840,9.100,2.060,4.4472,13.2281,-0.6862,5.0778,0.8216,9.1472,8.0283,13.7668,6.0000,13.6360,12.8392,-13.1270
1.6500,242.927,182.186,10.415,2.521,4.2774,13.6648,-0.6594,5.5044,2.1900,9.0815,7.7367,14.2909,6.0000,12.6753,10.4539,-13.8344
