t_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0500,240.343,181.367,6.759,2.000,0.0000,0.0000,0.0000,0.0099,-11.9754,9.9978,6.2743,6.1214,6.0000,19.5550,19.0940,-11.6483
0.3000,239.446,179.197,6.227,2.000,1.5355,3.6796,-0.3091,0.2904,-11.2986,9.9404,7.5106,6.9608,6.0000,20.0188,21.5740,-11.2082
0.5500,241.164,179.223,5.527,2.000,2.7810,6.5228,-0.5144,0.9029,-9.8563,9.8249,8.4436,8.1282,6.0000,19.8653,22.7462,-10.9575
0.8000,240.732,180.926,5.531,2.000,3.7176,8.7505,-0.6397,1.7714,-7.8168,9.6727,8.9900,9.5191,6.0000,19.1269,22.6084,-10.9214
1.0500,240.852,180.004,6.917,2.000,4.3281,10.5326,-0.7031,2.8157,-5.3028,9.5005,9.1009,11.0094,6.0000,17.8204,21.0736,-11.1671
1.3000,239.559,181.361,7.677,2.000,4.5871,11.9962,-0.7170,3.9498,-2.4022,9.3216,8.7665,12.4659,6.0000,15.9696,17.9512,-11.8228
1.5500,238.376,179.641,9.140,2.354,4.4472,13.2281,-0.6862,5.0778,0.8216,9.1472,8.0283,13.7668,6.0000,13.6360,12.8392,-13.1270
1.8000,237.515,180.744,10.915,2.937,3.9531,14.2561,-0.5969,6.1041,4.3168,8.9906,7.4220,15.1328,6.0000,11.2884,6.9513,-15.0936
2.0500,239.447,180.609,11.512,3.502,3.3102,15.0799,-0.4085,6.9777,8.0320,8.8734,7.2465,16.6168,6.0000,9.0443,1.7967,-18.1764
2.3000,240.252,181.542,15.880,6.185,2.6998,15.7016,0.0783,7.6934,11.9165,8.8524,7.5174,18.0864,6.0000,6.7830,-1.6468,-24.3948
2.5500,240.164,181.747,23.785,12.779,2.0208,11.2660,1.0380,8.2522,15.1627,9.1048,8.2105,19.4104,6.0000,5.2380,-0.5735,-35.7124
2.8000,241.218,180.599,26.527,18.205,0.8261,5.5698,0.4766,8.5504,16.9315,9.2665,9.2640,20.4703,6.0000,4.8418,11.3945,-41.7002
3.0500,242.121,181.549,25.055,16.730,-0.9542,1.4848,-0.1674,8.4461,17.5672,9.2702,10.5780,21.1850,6.0000,5.2979,30.4994,-37.4740
3.3000,242.147,180.779,17.980,8.413,-3.0947,-1.5897,-1.1956,7.8329,17.3880,9.0535,11.8144,22.0244,6.0000,6.8139,40.6385,-26.1475
3.5500,242.041,181.600,13.750,4.532,-0.2074,1.2507,-1.1597,7.5546,17.4714,8.6939,12.7474,23.1918,6.0000,8.1689,42.2435,-18.8663
3.8000,242.174,182.044,14.336,4.157,2.3062,4.0183,-0.1125,7.9681,18.2902,8.5948,13.2937,24.5827,6.0000,8.6305,40.2482,-17.1353
4.0500,241.483,180.703,15.777,4.865,3.9870,6.3660,0.7303,8.8591,19.7222,8.7218,13.4046,26.0730,6.0000,8.2575,35.5957,-18.8624
4.3000,241.503,179.734,17.154,6.710,4.8460,8.4746,1.2717,10.0230,21.6956,9.0074,13.0702,27.5294,6.0000,7.2197,27.5771,-24.1748
4.5500,239.655,179.550,20.177,10.028,3.8105,5.7218,-0.0140,11.0950,23.5070,9.1001,12.3380,28.8344,6.0000,6.2683,13.1331,-29.1241
4.8000,241.339,179.388,17.561,8.449,2.8841,0.5524,-0.8244,11.8645,24.0362,8.9653,11.7647,30.2145,6.0000,6.8366,-0.9089,-25.2331
5.0500,241.165,180.284,14.381,6.017,1.9579,4.3728,-0.1197,12.4181,24.8766,8.8811,11.6249,31.7023,6.0000,7.4358,-6.6403,-22.3653
5.3000,240.498,178.703,15.962,6.558,1.2345,7.3574,0.4121,12.7726,26.5176,8.9517,11.9310,33.1650,6.0000,7.3058,-7.2229,-23.3929
5.5500,239.763,177.803,19.100,8.452,0.9037,8.8198,-0.0880,13.0150,28.6777,9.0231,12.6556,34.4719,6.0000,6.5270,-3.5520,-27.0989
5.8000,238.316,180.028,20.912,9.648,0.1467,2.9768,-0.1864,13.1145,29.8132,8.9691,13.7342,35.5063,6.0000,6.4323,6.2151,-26.9899
