t_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0500,240.003,179.826,6.675,1.516,0.0000,0.0000,0.0000,0.0100,-11.9754,9.9978,6.2785,6.1114,6.0000,19.5472,19.1158,-11.6530
0.1500,240.002,179.830,6.588,1.478,0.6539,1.5860,-0.1388,0.0784,-11.8100,9.9834,6.8355,6.3347,6.0000,19.7595,20.4255,-11.4836
0.2500,240.001,179.833,6.549,1.457,1.2786,3.0065,-0.2597,0.2092,-11.5032,9.9569,7.3919,6.5591,6.0000,19.8288,21.6859,-11.3650
0.3500,240.000,179.834,6.552,1.449,1.8757,4.2772,-0.3645,0.3996,-11.0701,9.9200,7.9476,6.7855,6.0000,19.7699,22.9149,-11.2905
0.4500,239.999,179.833,6.590,1.452,2.4471,5.4119,-0.4545,0.6470,-10.5241,9.8742,8.5021,7.0146,6.0000,19.5961,24.1263,-11.2555
0.5500,239.999,179.832,6.661,1.467,2.9948,6.4231,-0.5311,0.9491,-9.8775,9.8208,9.0552,7.2471,6.0000,19.3198,25.3308,-11.2571
0.6500,239.998,179.829,6.763,1.492,3.5208,7.3219,-0.5953,1.3036,-9.1415,9.7610,9.6065,7.4839,6.0000,18.9522,26.5375,-11.2940
0.7500,239.997,179.825,6.892,1.526,4.0271,8.1183,-0.6481,1.7088,-8.3263,9.6960,10.1557,7.7256,6.0000,18.5035,27.7538,-11.3662
0.8500,239.995,179.820,7.049,1.571,4.5154,8.8214,-0.6900,2.1626,-7.4412,9.6269,10.7023,7.9730,6.0000,17.9830,28.9861,-11.4748
0.9500,239.994,179.814,7.233,1.627,4.9876,9.4393,-0.7218,2.6637,-6.4947,9.5546,11.2460,8.2267,6.0000,17.3991,30.2402,-11.6222
1.0500,239.995,179.806,7.450,1.695,5.4452,9.9791,-0.7439,3.2104,-5.4946,9.4802,11.7864,8.4875,6.0000,16.7595,31.5223,-11.8118
1.1500,239.995,179.795,7.719,1.778,5.8899,10.4473,-0.7565,3.8015,-4.4480,9.4045,12.3229,8.7559,6.0000,16.0711,32.8359,-12.0492
1.2500,239.992,179.782,8.023,1.877,6.3231,10.8497,-0.7598,4.4359,-3.3614,9.3286,12.8553,9.0327,6.0000,15.3400,34.1869,-12.3416
1.3500,239.990,179.767,8.361,1.993,6.7459,11.1915,-0.7537,5.1126,-2.2410,9.2533,13.3829,9.3184,6.0000,14.5720,35.5806,-12.6989
1.4500,239.986,179.749,8.738,2.131,7.1595,11.4772,-0.7379,5.8305,-1.0922,9.1797,13.9053,9.6135,6.0000,13.7721,37.0230,-13.1343
1.5500,239.982,179.728,9.156,2.295,7.5650,11.7109,-0.7117,6.5890,0.0798,9.1087,14.4220,9.9185,6.0000,12.9450,38.5210,-13.6655
1.6500,239.977,179.702,9.621,2.491,7.9632,11.8962,-0.6742,7.3873,1.2700,9.0416,14.9323,10.2340,6.0000,12.0951,40.0829,-14.3167
1.7500,239.970,179.671,10.138,2.728,8.3549,12.0363,-0.6235,8.2247,2.4740,8.9796,15.4358,10.5604,6.0000,11.2263,41.7194,-15.1217
1.8500,239.962,179.632,10.715,3.017,8.7405,12.1340,-0.5569,9.1006,3.6877,8.9244,15.9317,10.8981,6.0000,10.3428,43.4456,-16.1278
1.9500,239.963,179.581,11.390,3.381,9.1206,12.1914,-0.4695,10.0145,4.9068,8.8780,16.4196,11.2473,6.0000,9.4489,45.2827,-17.4036
2.0500,239.951,179.511,12.210,3.850,9.4949,12.2102,-0.3519,10.9658,6.1277,8.8438,16.8987,11.6085,6.0000,8.5498,47.2581,-19.0545
2.1500,239.934,179.444,13.143,4.510,9.8619,12.1906,-0.1825,11.9538,7.3464,8.8271,17.3684,11.9818,6.0000,7.6533,49.4200,-21.2592
2.2500,240.041,179.395,14.448,5.529,10.2116,12.1254,0.1101,12.9760,8.5578,8.8425,17.8280,12.3674,6.0000,6.7757,51.8800,-24.3278
2.3500,240.098,179.360,16.943,7.530,10.0086,11.6014,1.0807,13.9615,9.7053,8.9435,18.2770,12.7654,6.0000,6.0348,54.6784,-28.6508
2.4500,240.101,179.356,19.451,9.975,8.1850,9.9170,1.2471,14.7706,10.6887,9.0666,18.7144,13.1760,6.0000,5.5588,57.7845,-32.8821
2.5500,240.126,179.376,21.540,12.239,6.3281,8.2550,1.0541,15.3941,11.5061,9.1703,19.1398,13.5992,6.0000,5.3113,60.8290,-36.0097
2.6500,240.110,179.402,22.874,13.754,4.4794,6.6439,0.7489,15.8339,12.1637,9.2433,19.5524,14.0348,6.0000,5.2526,63.3101,-37.4813
