t_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0500,240.795,178.234,6.747,2.000,0.0000,0.0000,0.0000,0.0068,-11.9743,9.9978,5.8456,6.2572,6.0000,19.5486,17.7578,-11.6522
0.1500,241.910,177.545,6.367,2.000,0.4290,1.6610,-0.1387,0.0514,-11.8010,9.9834,5.5366,6.7715,6.0000,19.7629,16.4538,-11.4816
0.2500,240.322,179.209,6.346,2.000,0.7822,3.1721,-0.2596,0.1309,-11.4771,9.9569,5.2264,7.2851,6.0000,19.8325,15.1940,-11.3630
0.3500,241.337,179.356,6.377,2.000,1.0669,4.5470,-0.3643,0.2386,-11.0164,9.9201,4.9144,7.7976,6.0000,19.7708,13.9570,-11.2901
0.4500,241.812,178.397,6.330,2.000,1.2895,5.7978,-0.4545,0.3682,-10.4311,9.8743,4.6000,8.3086,6.0000,19.5905,12.7250,-11.2588
0.5500,242.571,178.539,6.377,2.000,1.4553,6.9357,-0.5314,0.5142,-9.7326,9.8208,4.2823,8.8176,6.0000,19.3029,11.4824,-11.2670
0.6500,242.371,180.558,6.460,2.000,1.5687,7.9711,-0.5960,0.6713,-8.9309,9.7610,3.9608,9.3242,6.0000,18.9187,10.2149,-11.3140
0.7500,242.667,179.756,6.610,2.000,1.6334,8.9130,-0.6494,0.8347,-8.0355,9.6958,3.6347,9.8279,6.0000,18.4474,8.9088,-11.4004
0.8500,241.200,180.233,7.057,2.000,1.6523,9.7697,-0.6923,0.9997,-7.0548,9.6265,3.3035,10.3281,6.0000,17.8979,7.5498,-11.5284
0.9500,239.292,181.638,7.343,2.000,1.6275,10.5486,-0.7253,1.1621,-5.9965,9.5538,2.9664,10.8245,6.0000,17.2786,6.1230,-11.7013
1.0500,239.203,180.856,7.663,2.000,1.5608,11.2562,-0.7488,1.3175,-4.8678,9.4789,2.6229,11.3164,6.0000,16.5970,4.6119,-11.9241
1.1500,239.610,180.092,7.950,2.000,1.4531,11.8983,-0.7631,1.4620,-3.6751,9.4026,2.2724,11.8034,6.0000,15.8603,2.9978,-12.2039
1.2500,238.892,180.214,8.650,2.054,1.3048,12.4799,-0.7682,1.5915,-2.4246,9.3258,1.9144,12.2849,6.0000,15.0755,1.2587,-12.5500
1.3500,237.757,180.090,8.679,2.191,1.1155,13.0050,-0.7640,1.7018,-1.1219,9.2495,1.5484,12.7603,6.0000,14.2492,-0.6319,-12.9749
1.4500,237.705,180.208,9.517,2.434,0.8844,13.4770,-0.7499,1.7888,0.2279,9.1746,1.1739,13.2291,6.0000,13.3879,-2.7063,-13.4950
1.5500,237.821,179.796,9.648,2.537,0.6098,13.8982,-0.7249,1.8481,1.6194,9.1023,0.7904,13.6906,6.0000,12.4983,-5.0053,-14.1324
1.6500,237.585,179.762,10.655,2.707,0.2892,14.2699,-0.6875,1.8751,3.0480,9.0339,0.3977,14.1441,6.0000,11.5876,-7.5819,-14.9169
1.7500,238.289,181.259,11.361,3.122,-0.0807,14.5919,-0.6347,1.8648,4.5084,8.9708,-0.0047,14.5892,6.0000,10.6633,-10.5043,-15.8887
1.8500,239.969,181.179,12.249,3.668,-0.5041,14.8626,-0.5618,1.8119,5.9957,8.9152,-0.4170,15.0251,6.0000,9.7347,-13.8631,-17.1043
1.9500,238.674,179.425,13.925,4.070,-0.9863,15.0778,-0.4597,1.7104,7.5041,8.8700,-0.8395,15.4511,6.0000,8.8128,-17.7848,-18.6461
2.0500,238.459,180.427,15.491,4.995,-1.5327,15.2294,-0.3096,1.5540,9.0273,8.8404,-1.2723,15.8666,6.0000,7.9124,-22.4449,-20.6359
2.1500,237.850,181.592,17.239,6.199,-2.1463,15.2999,-0.0576,1.3359,10.5567,8.8378,-1.7157,16.2709,6.0000,7.0563,-28.0920,-23.2604
2.2500,238.503,180.214,18.665,7.555,-2.7499,15.1493,0.6267,1.0720,12.0514,8.9105,-2.1695,16.6633,6.0000,6.3259,-35.0840,-26.8816
2.3500,240.096,179.811,18.550,8.817,-1.9024,13.1297,1.3174,0.8883,13.3536,9.0401,-2.6340,17.0430,6.0000,5.9177,-43.6528,-30.3555
2.4500,239.379,179.267,18.094,9.291,-0.6725,10.9638,1.1291,0.8282,14.4400,9.1503,-3.1090,17.4096,6.0000,5.8304,-52.9731,-32.1321
2.5500,240.416,179.344,18.333,9.745,0.6860,8.9494,0.6833,0.9034,15.3273,9.2148,-3.5945,17.7621,6.0000,6.0199,-61.5912,-31.7263
2.6500,240.647,180.310,18.091,9.140,1.9961,7.2884,-0.0154,1.1072,16.0509,9.2065,-4.0903,18.1000,6.0000,6.4218,-68.5006,-29.4432
2.7500,240.495,180.089,17.866,7.817,2.6797,6.1818,-1.3101,1.3560,16.6732,9.0740,-4.5961,18.4227,6.0000,6.9061,-73.6352,-25.9630
2.8500,241.730,178.413,17.529,6.878,1.0379,6.0780,-1.8184,1.4513,17.2802,8.8959,-5.1118,18.7294,6.0000,7.3028,-77.5607,-22.9244
2.9500,239.677,177.360,16.601,5.926,-0.6993,5.9621,-1.4121,1.3739,17.8752,8.7577,-5.6369,19.0195,6.0000,7.6057,-80.7407,-20.8403
3.0500,239.974,179.689,15.325,5.311,-2.2634,5.7607,-0.8709,1.1407,18.4499,8.6733,-6.1712,19.2926,6.0000,7.8172,-83.4357,-19.5912
3.1500,241.409,180.252,15.767,5.060,-3.6816,5.4998,-0.3339,0.7663,18.9983,8.6422,-6.7141,19.5479,6.0000,7.9392,-85.8072,-19.0400
3.2500,241.112,180.490,15.170,4.970,-4.9747,5.1963,0.1517,0.2631,19.5162,8.6593,-7.2652,19.7850,6.0000,7.9756,-87.9644,-19.0798
3.3500,240.664,178.928,14.611,5.160,-6.1590,4.8610,0.5618,-0.3580,20.0004,8.7169,-7.8241,20.0033,6.0000,7.9314,-89.9869,-19.6323
3.4500,239.627,177.943,14.930,5.339,-7.2475,4.5007,0.8783,-1.0876,20.4485,8.8056,-8.3900,20.2025,6.0000,7.8124,-91.9391,-20.6391
3.5500,241.229,177.689,16.026,5.938,-8.2507,4.1198,1.0800,-1.9172,20.8585,8.9136,-8.9624,20.3822,6.0000,7.6237,-93.8779,-22.0504
3.6500,240.236,178.290,16.730,6.445,-9.1751,3.7206,1.1328,-2.8388,21.2284,9.0258,-9.5408,20.5419,6.0000,7.3690,-95.8596,-23.8080
3.7500,240.491,178.305,17.695,7.427,-10.0149,3.3044,0.9662,-3.8436,21.5567,9.1191,-10.1243,20.6814,6.0000,7.0494,-97.9454,-25.8034
3.8500,241.720,180.133,18.638,8.262,-10.6860,2.8782,0.3700,-4.9096,21.8428,9.1456,-10.7123,20.8005,6.0000,6.6636,-100.1961,-27.6815
3.9500,242.229,179.379,18.706,8.862,-9.8815,2.5917,-1.0567,-5.8816,22.1026,9.0443,-11.3041,20.8990,6.0000,6.3149,-102.5298,-28.3070
4.0500,241.720,178.333,19.651,9.415,-7.4119,2.5735,-1.2861,-6.6108,22.3604,8.9190,-11.8991,20.9766,6.0000,6.1781,-104.6780,-27.6711
4.1500,240.080,178.991,19.681,9.161,-5.0406,2.6195,-0.8664,-7.1054,22.6227,8.8371,-12.4963,21.0335,6.0000,6.2779,-106.4401,-26.3538
4.2500,240.990,180.725,18.770,8.358,-3.0589,2.6836,-0.0225,-7.4080,22.8904,8.8445,-13.0952,21.0695,6.0000,6.5974,-107.7680,-25.0547
4.3500,241.472,181.556,18.095,7.800,-2.6206,2.4549,1.4055,-7.6822,23.1312,8.9793,-13.6950,21.0847,6.0000,6.9987,-108.8098,-24.7359
4.4500,241.568,180.244,17.017,7.253,-3.9932,1.7851,1.4806,-8.0874,23.3066,9.1241,-14.2950,21.0791,6.0000,7.2806,-109.7518,-24.9686
4.5500,239.869,180.297,16.781,7.143,-5.2346,1.1415,1.0251,-8.6160,23.4178,9.2235,-14.8944,21.0531,6.0000,7.4259,-110.6506,-25.2929
4.6500,238.455,178.688,15.634,7.062,-6.3125,0.5380,0.4522,-9.2517,23.4688,9.2657,-15.4925,21.0068,6.0000,7.4441,-111.5423,-25.5867
4.7500,237.524,180.530,15.564,7.016,-7.2562,-0.0305,-0.1394,-9.9813,23.4631,9.2490,-16.0888,20.9404,6.0000,7.3460,-112.4568,-25.8091
4.8500,236.983,178.515,16.477,7.118,-8.0904,-0.5699,-0.7033,-10.7939,23.4036,9.1763,-16.6826,20.8543,6.0000,7.1423,-113.4231,-25.9521
4.9500,239.407,178.896,17.132,7.149,-8.8402,-1.0886,-1.1951,-11.6814,23.2922,9.0555,-17.2732,20.7489,6.0000,6.8433,-114.4733,-26.0459
5.0500,238.616,179.005,18.076,7.380,-9.5529,-1.6055,-1.4275,-12.6255,23.1351,8.9307,-17.8602,20.6246,6.0000,6.4854,-115.6407,-26.3663
5.1500,239.456,177.852,18.899,7.787,-8.0658,-1.1976,-0.3007,-13.4205,23.0194,8.9030,-18.4429,20.4818,6.0000,6.3136,-116.8248,-26.8615
5.2500,239.164,178.020,18.557,7.901,-5.8415,-0.4307,0.3538,-13.9948,22.9800,8.9406,-19.0210,20.3211,6.0000,6.3832,-117.8973,-26.9222
5.3500,241.028,177.638,17.466,7.464,-3.8018,0.3132,0.8432,-14.3751,23.0104,9.0227,-19.5939,20.1430,6.0000,6.6599,-118.8008,-26.5049
5.4500,241.735,177.408,17.233,7.165,-4.0479,-0.0287,0.5242,-14.7852,23.0037,9.0730,-20.1614,19.9481,6.0000,6.8876,-119.6252,-26.0273
5.5500,239.532,178.529,16.391,7.100,-5.1398,-0.7995,0.0544,-15.3039,22.9202,9.0769,-20.7230,19.7371,6.0000,6.9801,-120.4430,-25.6918
5.6500,241.223,178.138,15.627,6.774,-6.1292,-1.5309,-0.2913,-15.9211,22.7637,9.0470,-21.2785,19.5104,6.0000,6.9518,-121.2823,-25.5303
5.7500,241.153,179.160,15.253,6.891,-7.0264,-2.2269,-0.4878,-16.6277,22.5377,8.9988,-21.8277,19.2688,6.0000,6.8176,-122.1696,-25.6196
5.8500,239.062,178.233,16.002,7.190,-7.8333,-2.8878,-0.4275,-17.4135,22.2465,8.9618,-22.3704,19.0130,6.0000,6.6003,-123.1329,-26.1715
5.9500,238.583,179.082,17.097,7.588,-7.5998,-2.9217,0.5782,-18.1578,21.9634,9.0112,-22.9065,18.7436,6.0000,6.4611,-124.1559,-27.2745
6.0500,240.332,179.535,16.642,7.937,-5.4709,-1.7419,0.4285,-18.6975,21.7934,9.0467,-23.4360,18.4613,6.0000,6.5266,-125.1313,-27.3284
