t_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0500,239.931,180.263,9.178,2.000,0.0000,0.0000,0.0000,0.0101,-7.9765,8.0075,3.2975,2.9614,6.0000,11.5894,16.7330,-9.7341
0.1500,239.780,178.527,9.707,2.043,0.6742,1.5113,0.4724,0.0809,-7.8189,8.0565,3.8966,2.9379,6.0000,11.5903,19.5354,-9.9776
0.2500,238.647,178.027,10.218,2.118,1.3497,2.8600,0.8568,0.2192,-7.5272,8.1436,4.4943,2.9863,6.0000,11.5428,22.1305,-10.4567
0.3500,239.106,179.938,10.489,2.219,2.0175,4.0631,1.1578,0.4242,-7.1157,8.2603,5.0819,3.1060,6.0000,11.4502,24.4991,-11.1348
0.4500,238.796,180.938,11.408,2.388,2.6693,5.1365,1.3805,0.6942,-6.5975,8.3990,5.6510,3.2951,6.0000,11.3136,26.6127,-11.9854
0.5500,240.521,181.042,11.124,2.647,3.2975,6.0953,1.5299,1.0269,-5.9839,8.5522,6.1933,3.5509,6.0000,11.1317,28.4490,-12.9902
0.6500,240.041,179.526,11.521,2.835,3.8949,6.9537,1.6108,1.4191,-5.2848,8.7133,6.7011,3.8699,6.0000,10.9020,29.9796,-14.1366
0.7500,239.142,178.971,11.473,3.001,4.4550,7.7253,1.6274,1.8671,-4.5089,8.8757,7.1670,4.2473,6.0000,10.6208,31.1791,-15.4230
0.8500,238.228,177.924,11.076,3.193,4.9711,8.4226,1.5825,2.3665,-3.6636,9.0333,7.5844,4.6779,6.0000,10.2843,32.0215,-16.8533
0.9500,237.780,179.436,10.929,3.311,5.4368,9.0575,1.4771,2.9121,-2.7550,9.1801,7.9473,5.1553,6.0000,9.8887,32.4702,-18.4393
1.0500,238.177,179.510,10.647,3.568,5.8448,9.6406,1.3093,3.4982,-1.7884,9.3097,8.2504,5.6726,6.0000,9.4309,32.5030,-20.2056
1.1500,240.441,180.606,12.129,4.496,6.1867,10.1807,1.0717,4.1180,-0.7678,9.4151,8.4894,6.2226,6.0000,8.9088,32.0284,-22.1804
1.2500,240.579,179.692,13.564,5.282,6.4514,10.6831,0.7469,4.7639,0.3027,9.4874,8.6608,6.7972,6.0000,8.3216,30.9750,-24.3887
1.3500,240.006,178.423,14.940,6.734,6.6210,11.1423,0.2917,5.4260,1.4187,9.5127,8.7622,7.3882,6.0000,7.6698,29.2091,-26.8349
1.4500,241.296,179.887,16.935,8.342,6.6538,11.4996,-0.4246,6.0895,2.5673,9.4622,8.7922,7.9871,6.0000,6.9563,26.5118,-29.3789
1.5500,241.479,180.915,19.083,10.023,6.2633,10.9946,-1.8040,6.7092,3.6492,9.2835,8.7646,8.5864,6.0000,6.2547,22.6138,-31.1402
1.6500,242.395,180.828,19.894,10.302,5.3234,8.7655,-2.2800,7.2372,4.5141,9.0585,8.7873,9.1856,6.0000,5.7738,18.3804,-31.4141
1.7500,242.485,179.652,19.220,10.096,4.4232,6.4564,-1.9753,7.6756,5.1492,8.8645,8.8816,9.7778,6.0000,5.5548,14.6300,-30.4480
1.8500,242.239,179.989,19.248,9.246,3.6145,4.3195,-1.3917,8.0337,5.5723,8.7292,9.0462,10.3544,6.0000,5.5790,11.9315,-28.7023
1.9500,240.577,178.720,20.957,9.074,2.9084,2.4450,-0.6580,8.3215,5.8089,8.6682,9.2785,10.9072,6.0000,5.8151,10.6106,-26.7574
2.0500,240.704,180.146,20.837,8.431,2.2714,0.8021,0.2528,8.5460,5.8834,8.6997,9.5754,11.4282,6.0000,6.2353,10.5035,-25.1429
2.1500,240.988,178.920,19.703,7.698,1.7381,-0.4265,1.4504,8.7196,5.8430,8.8541,9.9325,11.9099,6.0000,6.7969,11.2987,-24.3589
2.2500,241.187,178.564,18.365,7.300,1.6652,-0.1034,2.8040,8.8893,5.8443,9.1284,10.3447,12.3454,6.0000,7.3431,12.6140,-24.7790
2.3500,242.004,180.530,17.724,7.290,2.0528,1.5022,2.6341,9.0965,6.0009,9.3867,10.8061,12.7284,6.0000,7.7060,14.2550,-25.6534
2.4500,241.204,180.728,17.596,7.273,2.4461,2.8820,1.8506,9.3430,6.2943,9.5666,11.3100,13.0534,6.0000,7.8735,16.2255,-26.5248
2.5500,241.360,181.406,16.979,7.500,2.8285,4.0048,0.8848,9.6277,6.6988,9.6496,11.8492,13.3158,6.0000,7.8581,18.5608,-27.2611
2.6500,240.576,180.559,16.778,7.942,3.1962,4.8839,-0.1782,9.9489,7.1897,9.6257,12.4160,13.5117,6.0000,7.6754,21.3225,-27.7661
2.7500,240.729,180.914,17.646,7.880,3.5147,5.4834,-1.3546,10.3007,7.7380,9.4829,13.0021,13.6384,6.0000,7.3461,24.6052,-27.8595
2.8500,240.131,179.680,18.466,7.980,3.5422,5.5006,-2.7737,10.6445,8.2743,9.2024,13.5991,13.6940,6.0000,6.9357,28.6028,-27.0328
2.9500,239.946,178.631,19.394,8.072,2.3355,3.9341,-3.1883,10.8716,8.6609,8.8912,14.1986,13.6777,6.0000,6.6609,33.5583,-25.2440
3.0500,241.529,179.655,19.717,7.548,0.9964,2.4328,-2.2351,10.9661,8.8995,8.6750,14.7939,13.6040,6.0000,6.6127,39.1393,-23.3796
3.1500,239.844,181.146,19.643,7.250,-0.0422,1.3920,-0.8553,10.9620,9.0383,8.5994,15.3931,13.5805,6.0000,6.8423,44.2908,-21.8645
3.2500,238.604,180.011,19.247,6.389,-0.2091,1.1209,0.8763,10.9489,9.1555,8.6918,15.9908,13.6290,6.0000,7.2432,48.4133,-21.3777
3.3500,238.529,180.322,16.868,5.890,0.7605,1.6915,2.0004,11.0321,9.3290,8.8913,16.5784,13.7486,6.0000,7.6436,51.4416,-21.8090
3.4500,240.577,179.685,15.423,5.893,2.0488,2.4641,2.2648,11.2430,9.5789,9.1159,17.1474,13.9377,6.0000,7.9575,53.5526,-22.6491
3.5500,241.174,179.536,13.500,5.598,3.2780,3.1889,2.0798,11.5761,9.9009,9.3214,17.6897,14.1936,6.0000,8.1591,54.9149,-23.6256
3.6500,241.716,177.945,13.124,5.171,4.3788,3.8394,1.6660,12.0185,10.2877,9.4850,18.1975,14.5125,6.0000,8.2400,55.6484,-24.6261
3.7500,241.941,180.038,13.534,5.697,5.3406,4.4251,1.1236,12.5565,10.7328,9.5941,18.6635,14.8900,6.0000,8.1981,55.7657,-25.6055
3.8500,241.719,178.889,14.561,6.479,6.1631,4.9598,0.5004,13.1759,11.2311,9.6406,19.0809,15.3205,6.0000,8.0346,55.3075,-26.5386
3.9500,242.521,178.639,14.946,7.004,6.8451,5.4539,-0.1850,13.8629,11.7788,9.6182,19.4437,15.7979,6.0000,7.7526,54.2498,-27.4009
4.0500,240.359,178.445,15.623,7.955,7.3766,5.9091,-0.9412,14.6020,12.3715,9.5195,19.7468,16.3153,6.0000,7.3573,52.5367,-28.1363
4.1500,241.317,179.748,16.638,8.911,7.7106,6.2890,-1.8396,15.3716,13.0000,9.3281,19.9858,16.8652,6.0000,6.8588,50.0546,-28.5536
4.2500,240.604,180.954,18.127,9.288,7.1751,5.8699,-3.0664,16.0773,13.5740,9.0335,20.1573,17.4399,6.0000,6.3681,46.5500,-27.9404
4.3500,240.970,180.597,19.799,9.859,5.5080,4.1095,-2.5625,16.6214,13.9766,8.7832,20.2587,18.0309,6.0000,6.0985,41.9061,-26.6275
4.4500,242.024,180.232,21.334,9.291,4.1122,2.4457,-1.5564,17.0278,14.2141,8.6334,20.2886,18.6298,6.0000,6.0710,36.4524,-25.1815
4.5500,239.639,179.788,20.424,8.663,3.0379,0.9688,-0.4347,17.3283,14.3058,8.5969,20.2682,19.2293,6.0000,6.2787,30.8483,-23.9249
4.6500,240.733,179.952,18.171,7.911,2.2944,-0.1066,0.9246,17.5579,14.2978,8.6987,20.3053,19.8278,6.0000,6.7230,26.4323,-23.1917
4.7500,240.010,178.166,16.090,6.813,2.1693,0.1399,2.4279,17.7782,14.3226,8.9400,20.4138,20.4175,6.0000,7.2460,23.3973,-23.4940
4.8500,239.429,177.531,13.786,5.760,2.5474,1.5991,2.7747,18.0348,14.4896,9.2141,20.5921,20.9901,6.0000,7.6727,21.4888,-24.3428
4.9500,241.039,178.910,13.553,5.460,2.9295,3.0406,2.3904,18.3294,14.7997,9.4494,20.8377,21.5371,6.0000,7.9567,20.4093,-25.2830
5.0500,242.076,179.938,14.416,6.157,3.2680,4.3000,1.7461,18.6576,15.2348,9.6200,21.1470,22.0508,6.0000,8.0915,20.0517,-26.1741
5.1500,240.509,180.556,15.171,6.660,3.5777,5.3812,0.9910,19.0169,15.7771,9.7149,21.5156,22.5238,6.0000,8.0788,20.3139,-26.9739
