t_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0500,239.375,179.565,3.201,2.000,0.0000,0.0000,0.0000,0.0096,-27.9683,11.9969,10.2910,10.0728,6.0000,39.8536,15.1243,-8.5848
0.1500,240.628,178.155,3.062,2.000,0.6276,2.0482,-0.1990,0.0752,-27.7546,11.9762,10.8730,10.2187,6.0000,39.9225,15.8734,-8.5398
0.2500,241.264,179.498,3.227,2.000,1.2212,3.8925,-0.3770,0.2001,-27.3574,11.9377,11.4547,10.3659,6.0000,39.8057,16.6124,-8.5091
0.3500,239.967,178.130,3.284,2.000,1.7839,5.5523,-0.5361,0.3811,-26.7950,11.8834,12.0358,10.5151,6.0000,39.5224,17.3476,-8.4910
0.4500,239.072,178.485,3.259,2.000,2.3187,7.0447,-0.6778,0.6155,-26.0841,11.8150,12.6162,10.6672,6.0000,39.0900,18.0840,-8.4843
0.5500,239.628,180.140,3.198,2.000,2.8282,8.3854,-0.8039,0.9007,-25.2398,11.7341,13.1957,10.8229,6.0000,38.5241,18.8262,-8.4881
0.6500,240.996,180.659,3.192,2.000,3.3151,9.5884,-0.9157,1.2345,-24.2758,11.6421,13.7739,10.9830,6.0000,37.8391,19.5776,-8.5020
0.7500,240.095,179.205,3.365,2.000,3.7818,10.6665,-1.0143,1.6149,-23.2045,11.5402,14.3507,11.1483,6.0000,37.0482,20.3417,-8.5255
0.8500,239.491,179.921,3.423,2.000,4.2307,11.6309,-1.1009,2.0401,-22.0373,11.4298,14.9257,11.3195,6.0000,36.1631,21.1216,-8.5587
0.9500,239.935,179.839,3.596,2.000,4.6640,12.4921,-1.1764,2.5086,-20.7844,11.3118,15.4987,11.4975,6.0000,35.1946,21.9199,-8.6018
1.0500,239.888,178.730,3.717,2.000,5.0836,13.2592,-1.2417,3.0190,-19.4553,11.1874,16.0694,11.6829,6.0000,34.1525,22.7393,-8.6550
1.1500,240.664,178.665,3.832,2.000,5.4915,13.9404,-1.2975,3.5701,-18.0583,11.0574,16.6373,11.8764,6.0000,33.0456,23.5825,-8.7192
1.2500,241.792,179.457,4.025,2.000,5.8893,14.5433,-1.3444,4.1610,-16.6015,10.9228,17.2022,12.0787,6.0000,31.8821,24.4519,-8.7950
1.3500,239.793,181.169,4.099,2.000,6.2787,15.0745,-1.3829,4.7907,-15.0918,10.7844,17.7636,12.2904,6.0000,30.6690,25.3501,-8.8839
1.4500,241.134,180.869,4.147,2.000,6.6611,15.5399,-1.4135,5.4587,-13.5359,10.6429,18.3211,12.5122,6.0000,29.4131,26.2796,-8.9873
1.5500,241.925,179.585,4.566,2.000,7.0380,15.9450,-1.4364,6.1644,-11.9398,10.4992,18.8742,12.7447,6.0000,28.1202,27.2433,-9.1074
