scenario,name,estimator,family,meas,maneuver,detect_hz,latency_s,jitter,est_px_rms,held_px_rms,los_head_rms,los_att_rms,range_rms,range_bias,range_peak,size_rms,speed_rms,updates,rejects,steps,timeseries
s01,smooth_10hz_50ms,CV-pixel,CV,px,smooth,10.00,0.050,1,2.0898,1.5447,0.3102,0.2131,6.8120,6.7792,8.9096,0.3426,6.0000,80,0,800,logs/auto_20260817_021446/runs/s01_CV-pixel.csv
s01,smooth_10hz_50ms,EKF,EKF,bbox,smooth,10.00,0.050,1,3.4115,1.5447,0.4223,0.4253,0.8634,0.7610,2.1953,0.0343,0.9912,80,0,800,logs/auto_20260817_021446/runs/s01_EKF.csv
s01,smooth_10hz_50ms,UKF,UKF,bbox,smooth,10.00,0.050,1,3.6346,1.5447,0.4848,0.4301,1.2529,1.0055,2.8276,0.0393,1.2608,80,0,800,logs/auto_20260817_021446/runs/s01_UKF.csv
s01,smooth_10hz_50ms,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.050,1,3.3673,1.5447,0.4190,0.4174,0.8127,0.7096,1.7466,0.0353,0.7457,80,0,800,logs/auto_20260817_021446/runs/s01_IMM-EKF.csv
s01,smooth_10hz_50ms,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.050,1,3.7010,1.5447,0.4710,0.4505,0.8694,0.7159,2.3252,0.0355,0.8514,80,0,800,logs/auto_20260817_021446/runs/s01_IMM-UKF.csv
s01,smooth_10hz_50ms,EKF-LOS,EKF,los,smooth,10.00,0.050,1,3.7278,1.5447,0.4443,0.4807,4.3803,3.7279,10.2010,0.0295,2.2969,80,0,800,logs/auto_20260817_021446/runs/s01_EKF-LOS.csv
s01,smooth_10hz_50ms,UKF-LOS,UKF,los,smooth,10.00,0.050,1,5.9613,1.5447,0.7390,0.7511,15.7532,14.6372,28.0665,0.0295,7.0123,80,0,800,logs/auto_20260817_021446/runs/s01_UKF-LOS.csv
s01,smooth_10hz_50ms,IMM-EKF-LOS,IMM-EKF,los,smooth,10.00,0.050,1,3.6250,1.5447,0.4406,0.4601,0.9846,0.6763,3.1991,0.0295,1.1090,80,0,800,logs/auto_20260817_021446/runs/s01_IMM-EKF-LOS.csv
s01,smooth_10hz_50ms,IMM-UKF-LOS,IMM-UKF,los,smooth,10.00,0.050,1,5.2793,1.5447,0.7492,0.5851,2.4741,2.1630,6.1530,0.0295,1.5463,80,0,800,logs/auto_20260817_021446/runs/s01_IMM-UKF-LOS.csv
s02,jink_10hz_50ms,CV-pixel,CV,px,jink,10.00,0.050,1,2.0996,1.5479,0.3125,0.2131,7.1140,7.0418,9.4025,0.3560,6.0000,80,0,800,logs/auto_20260817_021446/runs/s02_CV-pixel.csv
s02,jink_10hz_50ms,EKF,EKF,bbox,jink,10.00,0.050,1,4.8732,1.5479,0.6630,0.5623,1.3115,1.2661,2.1126,0.0756,1.2996,80,0,800,logs/auto_20260817_021446/runs/s02_EKF.csv
s02,jink_10hz_50ms,UKF,UKF,bbox,jink,10.00,0.050,1,6.6020,1.5479,1.0455,0.5885,0.8153,0.6078,2.7107,0.0321,1.5417,80,0,800,logs/auto_20260817_021446/runs/s02_UKF.csv
s02,jink_10hz_50ms,IMM-EKF,IMM-EKF,bbox,jink,10.00,0.050,1,6.0320,1.5479,0.7318,0.7682,2.1654,2.1318,2.8384,0.1168,1.2305,80,0,800,logs/auto_20260817_021446/runs/s02_IMM-EKF.csv
s02,jink_10hz_50ms,IMM-UKF,IMM-UKF,bbox,jink,10.00,0.050,1,7.6992,1.5479,1.1336,0.7958,1.8840,1.8151,2.6987,0.1080,0.9414,80,0,800,logs/auto_20260817_021446/runs/s02_IMM-UKF.csv
s02,jink_10hz_50ms,EKF-LOS,EKF,los,jink,10.00,0.050,1,9.4754,1.5479,0.9777,1.3513,1.8089,1.2188,5.8491,0.0244,1.4014,80,0,800,logs/auto_20260817_021446/runs/s02_EKF-LOS.csv
