id,name,maneuver,detect_hz,latency_s,jitter,center_px,size_frac,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,tgt_vx,tgt_vy,tgt_vz,seed,duration_s,ideal_gimbal
s01,smooth_10hz_50ms,smooth,10.00,0.050,1,4.0,0.100,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,8.0,1
s02,jink_10hz_50ms,jink,10.00,0.050,1,4.0,0.100,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,8.0,1
s03,smooth_10hz_150ms,smooth,10.00,0.150,1,4.0,0.100,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,8.0,1
s04,jink_10hz_150ms,jink,10.00,0.150,1,4.0,0.100,0.000,-12.000,10.000,6.000,6.000,6.000,5.000,2.000,0.000,12648430,8.0,1
