scenario,name,family,maneuver,detect_hz,latency_s,jitter,bbox_est_px,los_est_px,d_est_px,bbox_hdg,los_hdg,d_hdg,bbox_range,los_range,d_range,bbox_size,los_size
s01,smooth_10hz_50ms,EKF,smooth,10.00,0.050,1,3.4115,3.7278,0.3163,0.4223,0.4443,0.0219,0.8634,4.3803,3.5169,0.0343,0.0295
s01,smooth_10hz_50ms,UKF,smooth,10.00,0.050,1,3.6346,5.9613,2.3267,0.4848,0.7390,0.2542,1.2529,15.7532,14.5003,0.0393,0.0295
s01,smooth_10hz_50ms,IMM-EKF,smooth,10.00,0.050,1,3.3673,3.6250,0.2577,0.4190,0.4406,0.0216,0.8127,0.9846,0.1719,0.0353,0.0295
s01,smooth_10hz_50ms,IMM-UKF,smooth,10.00,0.050,1,3.7010,5.2793,1.5784,0.4710,0.7492,0.2782,0.8694,2.4741,1.6047,0.0355,0.0295
s02,jink_10hz_50ms,EKF,jink,10.00,0.050,1,4.8732,9.4754,4.6022,0.6630,0.9777,0.3147,1.3115,1.8089,0.4974,0.0756,0.0244
s02,jink_10hz_50ms,UKF,jink,10.00,0.050,1,6.6020,13.8311,7.2291,1.0455,2.4196,1.3741,0.8153,10.8494,10.0341,0.0321,0.0244
s02,jink_10hz_50ms,IMM-EKF,jink,10.00,0.050,1,6.0320,12.0794,6.0474,0.7318,0.8431,0.1113,2.1654,3.1556,0.9903,0.1168,0.0244
s02,jink_10hz_50ms,IMM-UKF,jink,10.00,0.050,1,7.6992,11.8371,4.1379,1.1336,2.0428,0.9092,1.8840,0.6339,-1.2501,0.1080,0.0244
s03,smooth_10hz_150ms,EKF,smooth,10.00,0.150,1,9.2672,11.1834,1.9162,0.8364,0.9705,0.1341,0.9690,4.3768,3.4078,0.0345,0.0295
s03,smooth_10hz_150ms,UKF,smooth,10.00,0.150,1,8.8876,11.6724,2.7848,0.9305,1.3168,0.3863,1.3721,15.9292,14.5571,0.0395,0.0295
s03,smooth_10hz_150ms,IMM-EKF,smooth,10.00,0.150,1,10.0972,11.5332,1.4360,0.8681,0.9647,0.0966,0.9060,0.9787,0.0728,0.0358,0.0295
s03,smooth_10hz_150ms,IMM-UKF,smooth,10.00,0.150,1,10.2040,12.6331,2.4291,0.9474,1.3576,0.4102,1.0003,2.4867,1.4865,0.0359,0.0295
s04,jink_10hz_150ms,EKF,jink,10.00,0.150,1,14.9117,26.2877,11.3760,1.5390,2.0122,0.4732,1.3302,1.8245,0.4943,0.0749,0.0244
s04,jink_10hz_150ms,UKF,jink,10.00,0.150,1,15.4429,24.7298,9.2869,2.1508,4.1901,2.0393,0.9875,11.3451,10.3576,0.0317,0.0244
s04,jink_10hz_150ms,IMM-EKF,jink,10.00,0.150,1,19.2474,33.6970,14.4496,1.7198,2.0285,0.3087,2.1604,3.1839,1.0235,0.1163,0.0244
s04,jink_10hz_150ms,IMM-UKF,jink,10.00,0.150,1,20.4303,22.2906,1.8603,2.3760,3.5087,1.1327,1.8924,0.8666,-1.0258,0.1071,0.0244
